player_name,player_name,league_name,year,fee,market_value_in_eur,player_position,from_club_name,to_club_name,perf_before_goals,perf_before_assists,perf_before_minutes,perf_before_matches,perf_after_goals,perf_after_assists,perf_after_minutes,perf_after_matches,goal_change,assist_change
James McAtee,James McAtee,Premier League,2023,,12000000.0,Midfield,Man City U21,Man City,,,,,0.0,0.0,1.0,1.0,,
Juan Cruz,Juan Cruz,Primera Division,2023,,1500000.0,Attack,Betis Deportivo,Real Betis,1.0,0.0,178.0,6.0,0.0,0.0,76.0,5.0,-1.0,0.0
Niels Nkounkou,Niels Nkounkou,Ligue 1,2023,2000000.0,5000000.0,Defender,Everton,Saint-Étienne,,,,,,,,,,
Nicolai Remberg,Nicolai Remberg,Bundesliga,2023,120000.0,350000.0,Midfield,Pr. Münster,Holstein Kiel,,,,,,,,,,
Max Rosenfelder,Max Rosenfelder,Bundesliga,2023,,500000.0,Defender,SC Freiburg II,SC Freiburg,,,,,,,,,,
Filip Marschall,Filip Marschall,Premier League,2023,,,Goalkeeper,Aston Villa U21,Aston Villa,,,,,,,,,,
Joe White,Joe White,Premier League,2023,,250000.0,Midfield,Newcastle U21,Newcastle,,,,,0.0,0.0,13.0,4.0,,
Cenk Özkacar,Cenk Özkacar,Primera Division,2023,5000000.0,5000000.0,Defender,Olympique Lyon,Valencia,0.0,0.0,1365.0,17.0,0.0,0.0,1598.0,23.0,0.0,0.0
Diego López,Diego López,Primera Division,2023,,1500000.0,Attack,Valencia B,Valencia,0.0,0.0,96.0,2.0,3.0,6.0,2656.0,36.0,3.0,6.0
Ziyad Larkeche,Ziyad Larkeche,Premier League,2023,0.0,350000.0,Defender,Fulham U21,QPR,,,,,,,,,,
Carlos Martín,Carlos Martín,Primera Division,2023,,500000.0,Attack,Atl. Madrid B,Atlético Madrid,0.0,0.0,28.0,4.0,,,,,,
Kasey McAteer,Kasey McAteer,Premier League,2023,,250000.0,Attack,Leicester U21,Leicester,,,,,,,,,,
Colin Kleine-Bekel,Colin Kleine-Bekel,Bundesliga,2023,,150000.0,Defender,Holst. Kiel II,Holstein Kiel,,,,,,,,,,
Fran Pérez,Fran Pérez,Primera Division,2023,,500000.0,Attack,Valencia B,Valencia,,,,,,,,,,
Yayah Kallon,Yayah Kallon,Serie A,2023,1800000.0,1500000.0,Attack,Genoa,Hellas Verona,1.0,1.0,860.0,22.0,0.0,0.0,4.0,1.0,-1.0,-1.0
Mihai Popa,Mihai Popa,Serie A,2023,0.0,1000000.0,Goalkeeper,FC Voluntari,Torino,,,,,,,,,,
Conor Bradley,Conor Bradley,Premier League,2023,,1500000.0,Defender,Liverpool U21,Liverpool,,,,,1.0,3.0,753.0,11.0,,
Urko González de Zárate,Urko González de Zárate,Primera Division,2023,,700000.0,Midfield,Real Sociedad B,Real Sociedad,,,,,,,,,,
Unai Marrero,Unai Marrero,Primera Division,2023,,250000.0,Goalkeeper,Real Sociedad B,Real Sociedad,,,,,0.0,0.0,142.0,2.0,,
Jon Ander Olasagasti,Jon Ander Olasagasti,Primera Division,2023,,1000000.0,Midfield,Real Sociedad B,Real Sociedad,,,,,,,,,,
João Pedro,João Pedro,Premier League,2023,34200000.0,32000000.0,Attack,Watford,Brighton,,,,,9.0,3.0,2045.0,31.0,,
Boulaye Dia,Boulaye Dia,Serie A,2023,14400000.0,25000000.0,Attack,Villarreal,Salernitana,16.0,6.0,2518.0,33.0,4.0,0.0,1143.0,17.0,-12.0,-6.0
Lewis Dobbin,Lewis Dobbin,Premier League,2023,,900000.0,Attack,Everton U21,Everton,,,,,1.0,0.0,232.0,12.0,,
Benjamin Sesko,Benjamin Sesko,Bundesliga,2023,24000000.0,24000000.0,Attack,RB Salzburg,RB Leipzig,,,,,14.0,2.0,1526.0,31.0,,
Jarell Quansah,Jarell Quansah,Premier League,2023,,400000.0,Defender,Liverpool U21,Liverpool,,,,,2.0,0.0,1190.0,17.0,,
Jordan Zemura,Jordan Zemura,Serie A,2023,0.0,6000000.0,Defender,Bournemouth,Udinese,,,,,1.0,0.0,1038.0,27.0,,
Álex Balboa,Álex Balboa,Primera Division,2023,,150000.0,Midfield,Alavés B,Alavés,,,,,,,,,,
Fermín López,Fermín López,Primera Division,2023,,300000.0,Midfield,Barça Atlètic,Barcelona,,,,,8.0,0.0,1446.0,31.0,,
Femi Seriki,Femi Seriki,Premier League,2023,,175000.0,Defender,Sheff Utd U21,Sheff Utd,,,,,,,,,,
Eren Dinkçi,Eren Dinkçi,Bundesliga,2023,0.0,1000000.0,Attack,Werder Bremen,Heidenheim,0.0,0.0,231.0,17.0,10.0,5.0,2650.0,33.0,10.0,5.0
Carl Rushworth,Carl Rushworth,Premier League,2023,,900000.0,Goalkeeper,Brighton U21,Brighton,,,,,,,,,,
Boubacar Traoré,Boubacar Traoré,Premier League,2023,11000000.0,5000000.0,Midfield,FC Metz,Wolves,0.0,1.0,411.0,10.0,0.0,0.0,819.0,24.0,0.0,-1.0
Filippo Missori,Filippo Missori,Serie A,2023,2500000.0,800000.0,Defender,AS Roma,Sassuolo,0.0,0.0,181.0,3.0,0.0,0.0,266.0,8.0,0.0,0.0
Sekou Diawara,Sekou Diawara,Serie A,2023,,300000.0,Attack,Udinese U19,Udinese Calcio,,,,,,,,,,
Diego Moreira,Diego Moreira,Premier League,2023,0.0,2000000.0,Attack,Benfica B,Chelsea,,,,,,,,,,
Marcel Lubik,Marcel Lubik,Bundesliga,2023,,250000.0,Goalkeeper,FC Augsburg U19,FC Augsburg,,,,,,,,,,
Bilal Nadir,Bilal Nadir,Ligue 1,2023,,150000.0,Midfield,Marseille B,Marseille,,,,,0.0,0.0,113.0,5.0,,
Willian Pacho,Willian Pacho,Bundesliga,2023,13650000.0,11000000.0,Defender,Royal Antwerp,E. Frankfurt,,,,,0.0,3.0,2970.0,33.0,,
Oscar Bobb,Oscar Bobb,Premier League,2023,,,Attack,Man City U21,Man City,,,,,1.0,1.0,302.0,14.0,,
Rafa Marín,Rafa Marín,Primera Division,2023,,500000.0,Defender,RM Castilla,Real Madrid,,,,,0.0,0.0,2443.0,33.0,,
Jonas Nickisch,Jonas Nickisch,Bundesliga,2023,0.0,200000.0,Goalkeeper,RB Leipzig U19,1.FC Köln,,,,,,,,,,
Dario Gebuhr,Dario Gebuhr,Bundesliga,2023,,400000.0,Defender,E. Frankfurt II,E. Frankfurt,0.0,0.0,21.0,1.0,,,,,,
Tom Cannon,Tom Cannon,Premier League,2023,,5000000.0,Attack,Everton U21,Everton,0.0,0.0,25.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0
Divin Mubama,Divin Mubama,Premier League,2023,,250000.0,Attack,West Ham U21,West Ham,0.0,0.0,38.0,3.0,0.0,0.0,80.0,5.0,0.0,0.0
Lewis Hall,Lewis Hall,Premier League,2023,,10000000.0,Defender,Chelsea U21,Chelsea,0.0,0.0,654.0,9.0,1.0,0.0,781.0,18.0,1.0,0.0
Dane Scarlett,Dane Scarlett,Premier League,2023,,1800000.0,Attack,Tottenham U21,Tottenham,,,,,0.0,0.0,22.0,4.0,,
Tim Jabol-Folcarelli,Tim Jabol-Folcarelli,Ligue 1,2023,0.0,500000.0,Midfield,Le Puy Foot,AC Ajaccio,,,,,,,,,,
Chadi Riad,Chadi Riad,Primera Division,2023,,500000.0,Defender,Barça Atlètic,Barcelona,0.0,0.0,2.0,1.0,0.0,0.0,2164.0,26.0,0.0,0.0
Robert Wagner,Robert Wagner,Bundesliga,2023,0.0,1400000.0,Midfield,SC Freiburg,Greuther Fürth,0.0,0.0,38.0,4.0,,,,,,
Morgan Guilavogui,Morgan Guilavogui,Ligue 1,2023,4000000.0,2500000.0,Attack,Paris FC,Lens,,,,,2.0,0.0,566.0,23.0,,
Aljoscha Kemlein,Aljoscha Kemlein,Bundesliga,2023,,250000.0,Midfield,U. Berlin U19,Union Berlin,,,,,0.0,0.0,29.0,2.0,,
Ayman Aourir,Ayman Aourir,Bundesliga,2023,,,Midfield,Leverkusen U19,B. Leverkusen,,,,,,,,,,
Jay Stansfield,Jay Stansfield,Premier League,2023,,1200000.0,Attack,Fulham U21,Fulham,0.0,0.0,87.0,3.0,,,,,,
Yannic Stein,Yannic Stein,Bundesliga,2023,,200000.0,Goalkeeper,U. Berlin U19,Union Berlin,,,,,,,,,,
Chaka Traorè,Chaka Traorè,Serie A,2023,,500000.0,Attack,Milan U19,AC Milan,,,,,1.0,0.0,20.0,2.0,,
Brodie Spencer,Brodie Spencer,Premier League,2023,,,Defender,Huddersfield B,Huddersfield,,,,,,,,,,
Keke Topp,Keke Topp,Bundesliga,2023,,500000.0,Attack,Schalke 04 U19,FC Schalke 04,0.0,0.0,20.0,1.0,,,,,,
Marko Ivezic,Marko Ivezic,Bundesliga,2023,250000.0,1500000.0,Defender,Vozdovac,Holstein Kiel,,,,,,,,,,
Malick Mbaye,Malick Mbaye,Ligue 1,2023,,150000.0,Attack,FC Metz B,FC Metz,,,,,0.0,0.0,153.0,5.0,,
Lorenzo Amatucci,Lorenzo Amatucci,Serie A,2023,,700000.0,Midfield,Fiorentina U19,Fiorentina,,,,,0.0,0.0,22.0,2.0,,
Ethan Ingram,Ethan Ingram,Premier League,2023,,150000.0,Defender,West Brom U21,West Brom,,,,,,,,,,
Hugo Ekitiké,Hugo Ekitiké,Ligue 1,2023,28500000.0,20000000.0,Attack,Stade Reims,Paris SG,3.0,4.0,1155.0,25.0,0.0,0.0,9.0,1.0,-3.0,-4.0
Álex Valle,Álex Valle,Primera Division,2023,,500000.0,Defender,Barça Atlètic,Barcelona,,,,,,,,,,
Jeppe Corfitzen,Jeppe Corfitzen,Serie A,2023,,200000.0,Attack,Lecce U19,Lecce,,,,,0.0,0.0,9.0,1.0,,
Iker Muñoz,Iker Muñoz,Primera Division,2023,,500000.0,Midfield,Osasuna B,CA Osasuna,0.0,0.0,254.0,8.0,4.0,0.0,1854.0,28.0,4.0,0.0
Yegor Yarmolyuk,Yegor Yarmolyuk,Premier League,2023,,400000.0,Midfield,Brentford B,Brentford,,,,,0.0,0.0,688.0,27.0,,
Ben Doak,Ben Doak,Premier League,2023,,,Attack,Liverpool U18,Liverpool,,,,,,,,,,
Loick Ayina,Loick Ayina,Premier League,2023,,150000.0,Defender,Huddersfield B,Huddersfield,,,,,,,,,,
Fabio Chiarodia,Fabio Chiarodia,Bundesliga,2023,2000000.0,1000000.0,Defender,Werder Bremen,Bor. M'gladbach,0.0,0.0,66.0,3.0,0.0,0.0,152.0,7.0,0.0,0.0
Andrew Moran,Andrew Moran,Premier League,2023,,300000.0,Midfield,Brighton U21,Brighton,0.0,0.0,12.0,1.0,,,,,,
Loïc Badé,Loïc Badé,Primera Division,2023,12000000.0,12000000.0,Defender,Stade Rennais,Sevilla FC,1.0,0.0,1449.0,19.0,0.0,1.0,2277.0,28.0,-1.0,1.0
Rareș Burnete,Rareș Burnete,Serie A,2023,,700000.0,Attack,Lecce U19,Lecce,,,,,,,,,,
Kevin Miranda,Kevin Miranda,Serie A,2023,,125000.0,Defender,Sassuolo U19,Sassuolo,,,,,0.0,0.0,14.0,1.0,,
Omari Hutchinson,Omari Hutchinson,Premier League,2023,,1000000.0,Midfield,Chelsea U21,Chelsea,0.0,0.0,23.0,1.0,,,,,,
Tarek Buchmann,Tarek Buchmann,Bundesliga,2023,,,Defender,FC Bayern U19,Bayern Munich,,,,,,,,,,
Mathieu Patouillet,Mathieu Patouillet,Ligue 1,2023,,,Goalkeeper,Olymp. Lyon B,Olympique Lyon,,,,,,,,,,
David Preu,David Preu,Bundesliga,2023,,,Attack,U. Berlin U19,Union Berlin,,,,,,,,,,
Edan Diop,Edan Diop,Ligue 1,2023,,2000000.0,Midfield,Monaco U21,Monaco,1.0,0.0,223.0,7.0,0.0,0.0,163.0,10.0,-1.0,0.0
Yllan Okou,Yllan Okou,Ligue 1,2023,,300000.0,Defender,Monaco U21,Monaco,,,,,,,,,,
Yann Lienard,Yann Lienard,Ligue 1,2023,,200000.0,Goalkeeper,Monaco U21,Monaco,,,,,,,,,,
Pietro Comuzzo,Pietro Comuzzo,Serie A,2023,,150000.0,Defender,Fiorentina U19,Fiorentina,,,,,0.0,0.0,43.0,4.0,,
Andre Brooks,Andre Brooks,Premier League,2023,,,Midfield,Sheff Utd U21,Sheff Utd,,,,,0.0,0.0,938.0,20.0,,
Cristian Volpato,Cristian Volpato,Serie A,2023,7500000.0,3000000.0,Midfield,AS Roma,Sassuolo,1.0,1.0,227.0,7.0,1.0,0.0,645.0,22.0,0.0,-1.0
Daniel Gore,Daniel Gore,Premier League,2023,,,Midfield,Man Utd U21,Man Utd,,,,,0.0,0.0,1.0,1.0,,
Aurel Wagbe,Aurel Wagbe,Bundesliga,2023,0.0,100000.0,Midfield,Wolfsburg U19,Holstein Kiel,,,,,,,,,,
Tom Louchet,Tom Louchet,Ligue 1,2023,,100000.0,Midfield,OGC Nice B,OGC Nice,,,,,1.0,1.0,409.0,13.0,,
Joselito,Joselito,Serie A,2023,,75000.0,Midfield,Verona U19,Hellas Verona,,,,,,,,,,
Nicolas Jackson,Nicolas Jackson,Premier League,2023,37000000.0,30000000.0,Attack,Villarreal,Chelsea,,,,,14.0,5.0,2799.0,35.0,,
Mert Kömür,Mert Kömür,Bundesliga,2023,,,Midfield,FC Augsburg U19,FC Augsburg,,,,,1.0,0.0,118.0,4.0,,
Ramón Terrats,Ramón Terrats,Primera Division,2023,2500000.0,4000000.0,Midfield,Girona,Villarreal,0.0,0.0,212.0,8.0,0.0,2.0,785.0,19.0,0.0,2.0
Lukas Ullrich,Lukas Ullrich,Bundesliga,2023,0.0,750000.0,Defender,Hertha BSC II,Bor. M'gladbach,,,,,0.0,0.0,47.0,4.0,,
Bence Dárdai,Bence Dárdai,Bundesliga,2023,,,Midfield,Hertha BSC U19,Hertha BSC,,,,,,,,,,
Elias Bakatukanda,Elias Bakatukanda,Bundesliga,2023,,250000.0,Defender,1.FC Köln U19,1.FC Köln,,,,,,,,,,
Mats Pannewig,Mats Pannewig,Bundesliga,2023,,,Midfield,VfL Bochum U19,VfL Bochum,,,,,,,,,,
Tom Rothe,Tom Rothe,Bundesliga,2023,0.0,3500000.0,Defender,Bor. Dortmund,Holstein Kiel,0.0,0.0,26.0,2.0,,,,,,
Felix Lange,Felix Lange,Bundesliga,2023,,100000.0,Defender,Wolfsburg U19,VfL Wolfsburg,,,,,,,,,,
Dennis Seimen,Dennis Seimen,Bundesliga,2023,,200000.0,Goalkeeper,Stuttgart U19,VfB Stuttgart,,,,,,,,,,
Ange Caumenan N'Guessan,Ange Caumenan N'Guessan,Serie A,2023,,200000.0,Defender,Torino U19,Torino,,,,,,,,,,
Frank Feller,Frank Feller,Bundesliga,2023,,,Goalkeeper,Heidenheim U19,Heidenheim,,,,,,,,,,
Max Finkgräfe,Max Finkgräfe,Bundesliga,2023,,,Defender,1.FC Köln U19,1.FC Köln,,,,,1.0,0.0,1756.0,24.0,,
Samy Faraj,Samy Faraj,Ligue 1,2023,,200000.0,Attack,FC Sochaux B,FC Sochaux,,,,,,,,,,
Jordy Makengo,Jordy Makengo,Bundesliga,2023,,350000.0,Defender,SC Freiburg II,SC Freiburg,,,,,0.0,0.0,1026.0,20.0,,
Lapo Nava,Lapo Nava,Serie A,2023,,150000.0,Goalkeeper,Milan U19,AC Milan,,,,,0.0,0.0,3.0,1.0,,
Noha Lemina,Noha Lemina,Ligue 1,2023,,,Midfield,Paris SG U19,Paris SG,,,,,,,,,,
Can Uzun,Can Uzun,Bundesliga,2023,,500000.0,Midfield,Nürnberg U19,1.FC Nuremberg,,,,,,,,,,
Luke Harris,Luke Harris,Premier League,2023,,500000.0,Midfield,Fulham U21,Fulham,0.0,0.0,13.0,3.0,0.0,0.0,75.0,1.0,0.0,0.0
Tommaso Corazza,Tommaso Corazza,Serie A,2023,,100000.0,Defender,Bologna U19,Bologna,,,,,0.0,0.0,195.0,9.0,,
Simone Calvani,Simone Calvani,Serie A,2023,,50000.0,Goalkeeper,Genoa U19,Genoa,,,,,,,,,,
Damion Downs,Damion Downs,Bundesliga,2023,,250000.0,Attack,1.FC Köln U19,1.FC Köln,,,,,2.0,0.0,181.0,10.0,,
Michael Kayode,Michael Kayode,Serie A,2023,,800000.0,Defender,Fiorentina U19,Fiorentina,,,,,1.0,1.0,2058.0,26.0,,
Seedy Jarju,Seedy Jarju,Bundesliga,2023,,,Defender,Heidenheim U19,Heidenheim,,,,,,,,,,
Ilyes Housni,Ilyes Housni,Ligue 1,2023,,3500000.0,Attack,Paris SG U19,Paris SG,0.0,0.0,11.0,1.0,,,,,,
Luka Janes,Luka Janes,Bundesliga,2023,,,Midfield,Heidenheim U19,Heidenheim,,,,,,,,,,
Lilian Raolisoa,Lilian Raolisoa,Ligue 1,2023,,200000.0,Defender,Angers SCO B,Angers SCO,1.0,0.0,173.0,7.0,,,,,,
Unai Gómez,Unai Gómez,Primera Division,2023,,100000.0,Midfield,Bilbao Athletic,Athletic,,,,,2.0,0.0,875.0,25.0,,
Javi Guerra,Javi Guerra,Primera Division,2023,,2000000.0,Midfield,Valencia B,Valencia,1.0,0.0,605.0,10.0,4.0,1.0,2498.0,36.0,3.0,1.0
Mohamed Jaouab,Mohamed Jaouab,Ligue 1,2023,,,Defender,Rennes B,Stade Rennais,,,,,,,,,,
Oumar Diakité,Oumar Diakité,Ligue 1,2023,2500000.0,1500000.0,Attack,RB Salzburg,Stade Reims,,,,,5.0,1.0,1585.0,28.0,,
Justin Lacombe,Justin Lacombe,Ligue 1,2023,,,Goalkeeper,Toulouse B,Toulouse,,,,,,,,,,
Ange Loïc N'Gatta,Ange Loïc N'Gatta,Ligue 1,2023,,,Defender,AJ Auxerre B,AJ Auxerre,,,,,,,,,,
David Torres,David Torres,Primera Division,2023,,50000.0,Defender,Valladolid Prom,Real Valladolid,0.0,0.0,385.0,7.0,,,,,,
Jack Hinshelwood,Jack Hinshelwood,Premier League,2023,,,Midfield,Brighton U21,Brighton,0.0,0.0,2.0,1.0,3.0,0.0,869.0,12.0,3.0,0.0
Diego González,Diego González,Serie A,2023,1100000.0,750000.0,Attack,Celaya,Lazio,,,,,,,,,,
Oliver Arblaster,Oliver Arblaster,Premier League,2023,,,Midfield,Sheff Utd U21,Sheff Utd,,,,,0.0,0.0,943.0,12.0,,
Ryan Trevitt,Ryan Trevitt,Premier League,2023,,100000.0,Midfield,Brentford B,Brentford,,,,,,,,,,
Anas Haj Mohamed,Anas Haj Mohamed,Serie A,2023,,,Attack,Parma U19,Parma,,,,,,,,,,
Hugo Sotelo,Hugo Sotelo,Primera Division,2023,,150000.0,Midfield,Celta Fortuna,Celta de Vigo,0.0,0.0,17.0,1.0,0.0,1.0,721.0,17.0,0.0,1.0
Adu Ares,Adu Ares,Primera Division,2023,,500000.0,Attack,Bilbao Athletic,Athletic,0.0,0.0,84.0,8.0,0.0,0.0,265.0,12.0,0.0,0.0
Assan Ouédraogo,Assan Ouédraogo,Bundesliga,2023,,500000.0,Midfield,Schalke 04 U19,FC Schalke 04,,,,,,,,,,
Neil El Aynaoui,Neil El Aynaoui,Ligue 1,2023,600000.0,700000.0,Midfield,AS Nancy,Lens,,,,,1.0,2.0,1566.0,25.0,,
Pasquale Allocca,Pasquale Allocca,Serie A,2023,,,Goalkeeper,Salernitana U19,Salernitana,,,,,,,,,,
Thérence Koudou,Thérence Koudou,Ligue 1,2023,,100000.0,Defender,Stade Reims B,Stade Reims,,,,,0.0,0.0,314.0,9.0,,
Mamadou Sarr,Mamadou Sarr,Ligue 1,2023,,1000000.0,Defender,Olymp. Lyon B,Olympique Lyon,0.0,0.0,8.0,1.0,0.0,0.0,8.0,1.0,0.0,0.0
Guillaume Restes,Guillaume Restes,Ligue 1,2023,,,Goalkeeper,Toulouse B,Toulouse,,,,,0.0,0.0,3060.0,34.0,,
Emran Soglo,Emran Soglo,Ligue 1,2023,,,Midfield,Marseille B,Marseille,,,,,1.0,1.0,109.0,3.0,,
Estanis Pedrola,Estanis Pedrola,Primera Division,2023,,500000.0,Attack,Barça Atlètic,Barcelona,,,,,,,,,,
Cheick Doumbia,Cheick Doumbia,Ligue 1,2023,,,Defender,Lorient B,Le Havre AC,,,,,,,,,,
Lamine Camara,Lamine Camara,Ligue 1,2023,,200000.0,Midfield,FC Metz B,FC Metz,,,,,1.0,4.0,2255.0,31.0,,
Théo Borne,Théo Borne,Ligue 1,2023,0.0,100000.0,Goalkeeper,Angers SCO,Clermont Foot,,,,,,,,,,
Archie Gray,Archie Gray,Premier League,2023,,200000.0,Defender,Leeds U18,Leeds,,,,,,,,,,
Lewis Miley,Lewis Miley,Premier League,2023,,,Midfield,Newcastle U21,Newcastle,0.0,0.0,15.0,1.0,1.0,3.0,1202.0,17.0,1.0,3.0
Valentin Atangana,Valentin Atangana,Ligue 1,2023,,250000.0,Midfield,Stade Reims B,Stade Reims,0.0,0.0,174.0,7.0,0.0,0.0,555.0,15.0,0.0,0.0
Tunde Akinsola,Tunde Akinsola,Primera Division,2023,,50000.0,Attack,Valladolid Prom,Real Valladolid,0.0,0.0,11.0,1.0,,,,,,
Patrick Dorgu,Patrick Dorgu,Serie A,2023,220000.0,400000.0,Defender,Nordsjaell. U19,Lecce,,,,,2.0,0.0,1564.0,32.0,,
Hugo Larsson,Hugo Larsson,Bundesliga,2023,9000000.0,9000000.0,Midfield,Malmö FF,E. Frankfurt,,,,,2.0,1.0,1886.0,29.0,,
Samuel Amo-Ameyaw,Samuel Amo-Ameyaw,Premier League,2023,,,Attack,Southampton U18,Southampton,0.0,0.0,4.0,1.0,,,,,,
Tommaso Martinelli,Tommaso Martinelli,Serie A,2023,,200000.0,Goalkeeper,Fiorentina U19,Fiorentina,,,,,0.0,0.0,90.0,1.0,,
Lamine Yamal,Lamine Yamal,Primera Division,2023,,,Attack,Barça U19,Barcelona,0.0,0.0,8.0,1.0,5.0,5.0,2201.0,37.0,5.0,5.0
Jovan Milosevic,Jovan Milosevic,Bundesliga,2023,1200000.0,500000.0,Attack,Vojvodina,VfB Stuttgart,,,,,0.0,0.0,28.0,5.0,,
Callum Marshall,Callum Marshall,Premier League,2023,,,Attack,West Ham U18,West Ham,,,,,,,,,,
Eli Junior Kroupi,Eli Junior Kroupi,Ligue 1,2023,,400000.0,Attack,Lorient B,FC Lorient,0.0,0.0,8.0,1.0,5.0,3.0,1084.0,30.0,5.0,3.0
Tidiam Gomis,Tidiam Gomis,Ligue 1,2023,,,Attack,SM Caen B,SM Caen,,,,,,,,,,
Nectarios Triantis,Nectarios Triantis,Premier League,2023,350000.0,250000.0,Midfield,Central Coast,Sunderland,,,,,,,,,,
Dalangunypole Gomis,Dalangunypole Gomis,Ligue 1,2023,0.0,,Defender,Rennes B,FC Sochaux,,,,,,,,,,
Arthur,Arthur,Bundesliga,2023,7000000.0,5000000.0,Defender,América-MG,B. Leverkusen,,,,,0.0,2.0,184.0,4.0,,
Amine Salama,Amine Salama,Ligue 1,2023,4000000.0,1500000.0,Attack,Angers SCO,Stade Reims,3.0,1.0,1249.0,25.0,0.0,0.0,313.0,11.0,-3.0,-1.0
Ibrahim Sulemana,Ibrahim Sulemana,Serie A,2023,4000000.0,1500000.0,Midfield,Hellas Verona,Cagliari,0.0,0.0,651.0,16.0,2.0,0.0,1339.0,21.0,2.0,0.0
Sidiki Chérif,Sidiki Chérif,Ligue 1,2023,,,Attack,Angers SCO U19,Angers SCO,,,,,,,,,,
Joachim Kayi Sanda,Joachim Kayi Sanda,Ligue 1,2023,,,Defender,VAFC U19,Valenciennes FC,,,,,,,,,,
Steven Baseya,Steven Baseya,Ligue 1,2023,,50000.0,Defender,AS Nancy B,R. Strasbourg,,,,,0.0,0.0,6.0,2.0,,
Tommaso Vannucchi,Tommaso Vannucchi,Serie A,2023,,150000.0,Goalkeeper,Fiorentina U17,Fiorentina,,,,,,,,,,
Samu Aghehowa,Samu Aghehowa,Primera Division,2023,,200000.0,Attack,Recre Granada,Granada CF,,,,,,,,,,
Davis Bautista,Davis Bautista,Bundesliga,2023,,250000.0,Defender,Aucas U20,E. Frankfurt,,,,,,,,,,
Ali Dembélé,Ali Dembélé,Serie A,2023,,200000.0,Midfield,Torino U19,Torino,,,,,,,,,,
Stredair Appuah,Stredair Appuah,Ligue 1,2023,,150000.0,Attack,FC Nantes U19,FC Nantes,0.0,0.0,66.0,5.0,0.0,0.0,84.0,4.0,0.0,0.0
Christian Mawissa,Christian Mawissa,Ligue 1,2023,,250000.0,Defender,Toulouse B,Toulouse,0.0,0.0,98.0,2.0,2.0,0.0,1118.0,17.0,2.0,0.0
Junior Diaz,Junior Diaz,Ligue 1,2023,,100000.0,Defender,FC Nantes B,FC Nantes,,,,,,,,,,
David Pejičić,David Pejičić,Serie A,2023,,,Midfield,Udinese U19,Udinese,,,,,,,,,,
Yankuba Minteh,Yankuba Minteh,Premier League,2023,8000000.0,2000000.0,Attack,Odense BK,Newcastle,,,,,,,,,,
Saná Fernandes,Saná Fernandes,Serie A,2023,,200000.0,Attack,Lazio U19,Lazio,,,,,,,,,,
François Mughe,François Mughe,Ligue 1,2023,,300000.0,Attack,Marseille B,Marseille,0.0,0.0,11.0,1.0,0.0,0.0,177.0,5.0,0.0,0.0
Mahamadou Diawara,Mahamadou Diawara,Ligue 1,2023,0.0,,Midfield,Paris SG U19,Olympique Lyon,,,,,0.0,0.0,358.0,11.0,,
Mamadou Diakhon,Mamadou Diakhon,Ligue 1,2023,,,Attack,Stade Reims B,Stade Reims,0.0,0.0,21.0,2.0,0.0,0.0,209.0,11.0,0.0,0.0
Mathias de Amorim,Mathias de Amorim,Ligue 1,2023,,,Midfield,G. Bordeaux B,G. Bordeaux,,,,,,,,,,
Andrés García,Andrés García,Primera Division,2023,,,Defender,Atl. Levante,Levante,,,,,,,,,,
Emmanuel Biumla,Emmanuel Biumla,Ligue 1,2023,,50000.0,Defender,G. Bordeaux B,G. Bordeaux,,,,,,,,,,
Ayyoub Bouaddi,Ayyoub Bouaddi,Ligue 1,2023,,,Midfield,LOSC Lille U19,LOSC Lille,,,,,0.0,0.0,131.0,9.0,,
Papa Amadou Diallo,Papa Amadou Diallo,Ligue 1,2023,,150000.0,Attack,FC Metz B,FC Metz,,,,,2.0,1.0,889.0,16.0,,
Justin Kalumba,Justin Kalumba,Ligue 1,2023,,250000.0,Attack,Angers SCO B,Angers SCO,0.0,0.0,546.0,7.0,,,,,,
Christ Makosso,Christ Makosso,Ligue 1,2023,,100000.0,Defender,FC Sochaux B,FC Sochaux,,,,,,,,,,
Alessio Cragno,Alessio Cragno,Serie A,2023,0.0,3000000.0,Goalkeeper,Monza,Cagliari Calcio,0.0,0.0,90.0,1.0,0.0,0.0,270.0,3.0,0.0,0.0
Antonio Candreva,Antonio Candreva,Serie A,2023,0.0,1500000.0,Midfield,Salernitana,Sampdoria,7.0,4.0,2726.0,35.0,6.0,6.0,2750.0,34.0,-1.0,2.0
Armando Izzo,Armando Izzo,Serie A,2023,0.0,3000000.0,Defender,Monza,Torino,1.0,0.0,2466.0,30.0,0.0,0.0,1650.0,23.0,-1.0,0.0
Morgan Schneiderlin,Morgan Schneiderlin,Ligue 1,2023,0.0,1500000.0,Midfield,Western Sydney,OGC Nice,,,,,,,,,,
Vicente Iborra,Vicente Iborra,Primera Division,2023,0.0,1200000.0,Midfield,Levante,Villarreal,,,,,,,,,,
Vitolo,Vitolo,Primera Division,2023,0.0,500000.0,Attack,UD Las Palmas,Atlético Madrid,,,,,,,,,,
Mauro Icardi,Mauro Icardi,Ligue 1,2023,0.0,19000000.0,Attack,Galatasaray,Paris SG,,,,,,,,,,
Kevin Strootman,Kevin Strootman,Ligue 1,2023,0.0,1300000.0,Midfield,Genoa,Marseille,,,,,,,,,,
