player_name,player_name,league_name,year,fee,market_value_in_eur,player_position,from_club_name,to_club_name,perf_before_goals,perf_before_assists,perf_before_minutes,perf_before_matches,perf_after_goals,perf_after_assists,perf_after_minutes,perf_after_matches,goal_change,assist_change
Odysseas Vlachodimos,Odysseas Vlachodimos,Premier League,2023,4900000.0,16000000.0,Goalkeeper,Benfica,Nottm Forest,,,,,0.0,0.0,450.0,5.0,,
Mehdi Bourabia,Mehdi Bourabia,Serie A,2023,0.0,1300000.0,Midfield,Spezia Calcio,Frosinone,1.0,3.0,2771.0,37.0,0.0,0.0,200.0,10.0,-1.0,-3.0
Pantelis Hatzidiakos,Pantelis Hatzidiakos,Serie A,2023,2000000.0,4000000.0,Defender,AZ Alkmaar,Cagliari,,,,,0.0,0.0,856.0,13.0,,
Remo Freuler,Remo Freuler,Serie A,2023,0.0,8000000.0,Midfield,Nottm Forest,Bologna,,,,,1.0,1.0,2624.0,32.0,,
Divock Origi,Divock Origi,Premier League,2023,0.0,6000000.0,Attack,AC Milan,Nottm Forest,,,,,0.0,1.0,606.0,20.0,,
Alfred Gomis,Alfred Gomis,Ligue 1,2023,0.0,2200000.0,Goalkeeper,Stade Rennais,FC Lorient,,,,,,,,,,
Mamadou Sylla,Mamadou Sylla,Primera Division,2023,0.0,1000000.0,Attack,Alavés,Real Valladolid,,,,,0.0,0.0,18.0,2.0,,
Christophe Hérelle,Christophe Hérelle,Ligue 1,2023,,2000000.0,Defender,Stade Brestois,FC Metz,0.0,0.0,1060.0,16.0,0.0,0.0,1617.0,19.0,0.0,0.0
Gonçalo Paciência,Gonçalo Paciência,Bundesliga,2023,0.0,2000000.0,Attack,Celta de Vigo,VfL Bochum,,,,,3.0,1.0,650.0,19.0,,
João Cancelo,João Cancelo,Primera Division,2023,0.0,50000000.0,Defender,Man City,Barcelona,,,,,2.0,4.0,2503.0,32.0,,
Clément Lenglet,Clément Lenglet,Premier League,2023,0.0,10000000.0,Defender,Barcelona,Aston Villa,0.0,2.0,2019.0,26.0,0.0,1.0,1153.0,14.0,0.0,-1.0
Davy Klaassen,Davy Klaassen,Serie A,2023,0.0,10000000.0,Midfield,Ajax,Inter,,,,,0.0,0.0,206.0,13.0,,
Kevin Mbabu,Kevin Mbabu,Bundesliga,2023,0.0,3500000.0,Defender,Fulham,FC Augsburg,,,,,0.0,2.0,2047.0,25.0,,
Samu Castillejo,Samu Castillejo,Serie A,2023,0.0,6000000.0,Attack,Valencia,Sassuolo,,,,,0.0,0.0,536.0,17.0,,
Ruben Aguilar,Ruben Aguilar,Ligue 1,2023,3500000.0,7000000.0,Defender,Monaco,Lens,0.0,0.0,1172.0,20.0,1.0,3.0,1922.0,25.0,1.0,3.0
Neal Maupay,Neal Maupay,Premier League,2023,0.0,10000000.0,Attack,Everton,Brentford,1.0,0.0,1118.0,27.0,6.0,3.0,1321.0,29.0,5.0,3.0
Roman Yaremchuk,Roman Yaremchuk,Primera Division,2023,0.0,5000000.0,Attack,Club Brugge,Valencia,,,,,3.0,0.0,928.0,25.0,,
Mariano Díaz,Mariano Díaz,Primera Division,2023,0.0,2500000.0,Attack,Real Madrid,Sevilla FC,,,,,,,,,,
Keita Baldé,Keita Baldé,Primera Division,2023,0.0,2500000.0,Attack,Spartak Moscow,Espanyol,,,,,,,,,,
Jamal Lowe,Jamal Lowe,Premier League,2023,0.0,1500000.0,Attack,Bournemouth,Swansea,0.0,0.0,12.0,2.0,,,,,,
Alex Iwobi,Alex Iwobi,Premier League,2023,25700000.0,28000000.0,Attack,Everton,Fulham,2.0,7.0,3378.0,38.0,0.0,0.0,140.0,2.0,-2.0,-7.0
Diego Rico,Diego Rico,Primera Division,2023,0.0,3000000.0,Defender,Real Sociedad,Getafe,0.0,0.0,1646.0,20.0,0.0,7.0,2535.0,32.0,0.0,7.0
Rob Holding,Rob Holding,Premier League,2023,1200000.0,8000000.0,Defender,Arsenal,Crystal Palace,1.0,0.0,566.0,14.0,,,,,,
Luka Jović,Luka Jović,Serie A,2023,500000.0,8000000.0,Attack,Fiorentina,AC Milan,6.0,3.0,1534.0,31.0,6.0,1.0,877.0,23.0,0.0,-2.0
Simone Bastoni,Simone Bastoni,Serie A,2023,0.0,6500000.0,Midfield,Spezia Calcio,FC Empoli,2.0,4.0,1189.0,19.0,1.0,0.0,745.0,16.0,-1.0,-4.0
Ui-jo Hwang,Ui-jo Hwang,Premier League,2023,0.0,4800000.0,Attack,Nottm Forest,Norwich,,,,,,,,,,
Mihailo Ristic,Mihailo Ristic,Primera Division,2023,1500000.0,3000000.0,Defender,Benfica,Celta de Vigo,,,,,0.0,0.0,808.0,12.0,,
Rominigue Kouamé,Rominigue Kouamé,Primera Division,2023,2500000.0,4500000.0,Midfield,Troyes,Cádiz CF,,,,,0.0,0.0,821.0,16.0,,
Álvaro Odriozola,Álvaro Odriozola,Primera Division,2023,3000000.0,5000000.0,Defender,Real Madrid,Real Sociedad,0.0,0.0,39.0,3.0,0.0,0.0,393.0,9.0,0.0,0.0
Sergio Reguilón,Sergio Reguilón,Premier League,2023,0.0,10000000.0,Defender,Tottenham,Man Utd,,,,,0.0,4.0,1118.0,16.0,,
Óscar Rodríguez,Óscar Rodríguez,Primera Division,2023,0.0,8000000.0,Midfield,Sevilla FC,Getafe,2.0,0.0,1775.0,33.0,2.0,1.0,967.0,24.0,0.0,1.0
Sofyan Amrabat,Sofyan Amrabat,Premier League,2023,0.0,30000000.0,Midfield,Fiorentina,Man Utd,,,,,0.0,0.0,938.0,21.0,,
Maxime López,Maxime López,Serie A,2023,0.0,15000000.0,Midfield,Sassuolo,Fiorentina,0.0,0.0,2296.0,30.0,0.0,0.0,800.0,19.0,0.0,0.0
Fodé Ballo-Touré,Fodé Ballo-Touré,Premier League,2023,0.0,3500000.0,Defender,AC Milan,Fulham,,,,,0.0,0.0,71.0,6.0,,
Rafael Borré,Rafael Borré,Bundesliga,2023,0.0,9000000.0,Attack,E. Frankfurt,Werder Bremen,2.0,2.0,1078.0,32.0,4.0,0.0,991.0,19.0,2.0,-2.0
Kristian Pedersen,Kristian Pedersen,Premier League,2023,0.0,1200000.0,Defender,1.FC Köln,Swansea,,,,,,,,,,
Altay Bayındır,Altay Bayındır,Premier League,2023,5000000.0,11000000.0,Goalkeeper,Fenerbahce,Man Utd,,,,,,,,,,
Anton Stach,Anton Stach,Bundesliga,2023,11000000.0,15000000.0,Midfield,1.FSV Mainz 05,TSG Hoffenheim,1.0,4.0,2070.0,30.0,2.0,3.0,2321.0,31.0,1.0,-1.0
Bruno Costa,Bruno Costa,Ligue 1,2023,,1500000.0,Midfield,FC Porto B,Valenciennes FC,,,,,,,,,,
Boubakary Soumaré,Boubakary Soumaré,Primera Division,2023,0.0,20000000.0,Midfield,Leicester,Sevilla FC,,,,,0.0,1.0,2286.0,28.0,,
Japhet Tanganga,Japhet Tanganga,Bundesliga,2023,0.0,7000000.0,Defender,Tottenham,FC Augsburg,,,,,,,,,,
Sead Haksabanovic,Sead Haksabanovic,Premier League,2023,0.0,4000000.0,Attack,Celtic,Stoke City,,,,,,,,,,
Shamar Nicholson,Shamar Nicholson,Ligue 1,2023,0.0,4500000.0,Attack,Spartak Moscow,Clermont Foot,,,,,4.0,3.0,1484.0,26.0,,
