,,,,nation,pos,age,born,90s,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
,,,,,,,,,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2122,Manchester Utd,Luke Shaw,ENG,DF,26,1995,17.8,0,6,1,16.7,0.34,0.06,0.0,0.0,24.7,0,0,0,0.1,0.1,0.02,-0.1,-0.1
ENG-Premier League,2122,Manchester Utd,Marcus Rashford,ENG,"FW,MF",23,1997,13.7,4,22,12,54.5,1.6,0.87,0.18,0.33,17.7,1,0,0,2.9,2.9,0.13,1.1,1.1
ENG-Premier League,2122,Manchester Utd,Mason Greenwood,ENG,"FW,MF",19,2001,14.1,5,48,18,37.5,3.4,1.27,0.1,0.28,19.1,0,0,0,4.3,4.3,0.09,0.7,0.7
ENG-Premier League,2122,Manchester Utd,Nemanja Matić,SRB,MF,32,1988,15.4,0,6,1,16.7,0.39,0.07,0.0,0.0,23.5,0,0,0,0.2,0.2,0.03,-0.2,-0.2
ENG-Premier League,2122,Manchester Utd,Paul Pogba,FRA,"MF,FW",28,1993,15.0,1,32,8,25.0,2.13,0.53,0.03,0.13,18.0,0,0,0,2.6,2.6,0.08,-1.6,-1.6
ENG-Premier League,2122,Manchester Utd,Phil Jones,ENG,DF,29,1992,1.8,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2122,Manchester Utd,Raphaël Varane,FRA,DF,28,1993,20.3,1,9,1,11.1,0.44,0.05,0.11,1.0,9.6,0,0,0,0.7,0.7,0.08,0.3,0.3
ENG-Premier League,2122,Manchester Utd,Scott McTominay,SCO,MF,24,1996,26.5,1,27,7,25.9,1.02,0.26,0.04,0.14,20.9,0,0,0,1.4,1.4,0.05,-0.4,-0.4
ENG-Premier League,2122,Manchester Utd,Shola Shoretire,ENG,MF,17,2004,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2122,Manchester Utd,Victor Lindelöf,SWE,DF,27,1994,26.2,0,3,2,66.7,0.11,0.08,0.0,0.0,8.6,0,0,0,0.2,0.2,0.07,-0.2,-0.2
ENG-Premier League,2122,Newcastle Utd,Allan Saint-Maximin,FRA,"FW,MF",24,1997,31.2,5,64,26,40.6,2.05,0.83,0.08,0.19,19.7,0,0,0,5.2,5.2,0.08,-0.2,-0.2
ENG-Premier League,2122,Newcastle Utd,Bruno Guimarães,BRA,MF,23,1997,11.5,5,23,12,52.2,2.0,1.04,0.22,0.42,18.0,0,0,0,3.1,3.1,0.16,1.9,1.9
ENG-Premier League,2122,Newcastle Utd,Callum Wilson,ENG,FW,29,1992,15.4,8,33,12,36.4,2.14,0.78,0.18,0.5,14.2,0,2,2,6.2,4.6,0.14,1.8,1.4
ENG-Premier League,2122,Newcastle Utd,Chris Wood,NZL,FW,29,1991,14.7,2,20,6,30.0,1.36,0.41,0.05,0.17,12.0,0,1,1,3.1,2.3,0.12,-1.1,-1.3
ENG-Premier League,2122,Newcastle Utd,Ciaran Clark,IRL,DF,31,1989,11.3,0,7,1,14.3,0.62,0.09,0.0,0.0,7.8,0,0,0,1.1,1.1,0.15,-1.1,-1.1
ENG-Premier League,2122,Newcastle Utd,Dan Burn,ENG,DF,29,1992,16.0,0,11,1,9.1,0.69,0.06,0.0,0.0,10.3,0,0,0,0.7,0.7,0.06,-0.7,-0.7
ENG-Premier League,2122,Newcastle Utd,Dwight Gayle,ENG,"FW,DF",30,1990,0.4,0,2,0,0.0,4.74,0.0,0.0,,7.3,0,0,0,0.6,0.6,0.28,-0.6,-0.6
ENG-Premier League,2122,Newcastle Utd,Emil Krafth,SWE,DF,26,1994,18.2,0,6,1,16.7,0.33,0.06,0.0,0.0,20.4,0,0,0,0.3,0.3,0.05,-0.3,-0.3
ENG-Premier League,2122,Newcastle Utd,Fabian Schär,SUI,DF,29,1991,24.0,2,21,8,38.1,0.88,0.33,0.1,0.25,19.5,4,0,0,1.2,1.2,0.06,0.8,0.8
ENG-Premier League,2122,Newcastle Utd,Federico Fernández,ARG,DF,32,1989,5.8,0,6,1,16.7,1.03,0.17,0.0,0.0,10.2,0,0,0,0.4,0.4,0.07,-0.4,-0.4
ENG-Premier League,2122,Newcastle Utd,Freddie Woodman,ENG,GK,24,1997,4.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2122,Newcastle Utd,Isaac Hayden,JAM,"MF,DF",26,1995,11.1,1,5,1,20.0,0.45,0.09,0.2,1.0,14.1,0,0,0,0.4,0.4,0.08,0.6,0.6
ENG-Premier League,2122,Newcastle Utd,Jacob Murphy,ENG,"FW,DF",26,1995,16.4,1,27,5,18.5,1.65,0.31,0.04,0.2,19.3,1,0,0,2.2,2.2,0.08,-1.2,-1.2
ENG-Premier League,2122,Newcastle Utd,Jamaal Lascelles,ENG,DF,27,1993,22.9,1,17,4,23.5,0.74,0.17,0.06,0.25,10.2,0,0,0,0.9,0.9,0.05,0.1,0.1
ENG-Premier League,2122,Newcastle Utd,Jamal Lewis,NIR,DF,23,1998,2.9,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2122,Newcastle Utd,Javier Manquillo,ESP,DF,27,1994,14.0,1,4,2,50.0,0.29,0.14,0.25,0.5,15.2,0,0,0,0.3,0.3,0.06,0.7,0.7
ENG-Premier League,2122,Newcastle Utd,Jeff Hendrick,IRL,MF,29,1992,0.8,1,1,1,100.0,1.25,1.25,1.0,1.0,28.1,0,0,0,0.1,0.1,0.09,0.9,0.9
ENG-Premier League,2122,Newcastle Utd,Joe Willock,ENG,MF,21,1999,22.6,2,35,11,31.4,1.55,0.49,0.06,0.18,17.2,0,0,0,3.2,3.2,0.09,-1.2,-1.2
ENG-Premier League,2122,Newcastle Utd,Joelinton,BRA,"MF,FW",24,1996,28.4,4,45,14,31.1,1.58,0.49,0.09,0.29,17.6,0,0,0,3.3,3.3,0.07,0.7,0.7
ENG-Premier League,2122,Newcastle Utd,Jonjo Shelvey,ENG,MF,29,1992,22.0,2,30,14,46.7,1.36,0.64,0.07,0.14,27.8,6,0,0,0.9,0.9,0.03,1.1,1.1
ENG-Premier League,2122,Newcastle Utd,Karl Darlow,WAL,GK,30,1990,8.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2122,Newcastle Utd,Kieran Trippier,ENG,DF,30,1990,4.8,2,2,2,100.0,0.42,0.42,1.0,1.0,24.5,2,0,0,0.2,0.2,0.11,1.8,1.8
ENG-Premier League,2122,Newcastle Utd,Martin Dúbravka,SVK,GK,32,1989,26.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2122,Newcastle Utd,Matt Ritchie,SCO,DF,31,1989,14.9,0,10,1,10.0,0.67,0.07,0.0,0.0,22.4,1,0,0,0.7,0.7,0.07,-0.7,-0.7
ENG-Premier League,2122,Newcastle Utd,Matt Targett,ENG,DF,25,1995,16.0,0,6,3,50.0,0.37,0.19,0.0,0.0,16.3,0,0,0,0.3,0.3,0.05,-0.3,-0.3
ENG-Premier League,2122,Newcastle Utd,Miguel Almirón,PAR,"MF,FW",27,1994,19.1,1,32,7,21.9,1.68,0.37,0.03,0.14,19.6,0,0,0,1.7,1.7,0.05,-0.7,-0.7
ENG-Premier League,2122,Newcastle Utd,Paul Dummett,WAL,DF,29,1991,2.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2122,Newcastle Utd,Ryan Fraser,SCO,"FW,MF",27,1994,16.3,2,24,7,29.2,1.47,0.43,0.08,0.29,18.0,0,0,0,2.7,2.7,0.11,-0.7,-0.7
ENG-Premier League,2122,Newcastle Utd,Sean Longstaff,ENG,MF,23,1997,16.3,1,15,2,13.3,0.92,0.12,0.07,0.5,26.0,1,0,0,0.7,0.7,0.05,0.3,0.3
ENG-Premier League,2122,Norwich City,Adam Idah,IRL,"FW,MF",20,2001,6.9,1,14,4,28.6,2.02,0.58,0.07,0.25,13.9,0,0,0,2.3,2.3,0.17,-1.3,-1.3
ENG-Premier League,2122,Norwich City,Andrew Omobamidele,IRL,DF,19,2002,4.2,1,2,1,50.0,0.47,0.24,0.5,1.0,8.3,0,0,0,0.2,0.2,0.12,0.8,0.8
ENG-Premier League,2122,Norwich City,Angus Gunn,SCO,GK,25,1996,9.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2122,Norwich City,Bali Mumba,ENG,DF,19,2001,0.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2122,Norwich City,Ben Gibson,ENG,DF,28,1993,27.7,0,8,4,50.0,0.29,0.14,0.0,0.0,10.6,0,0,0,1.4,1.4,0.17,-1.4,-1.4
ENG-Premier League,2122,Norwich City,Billy Gilmour,SCO,MF,20,2001,20.6,0,18,3,16.7,0.87,0.15,0.0,0.0,23.3,2,0,0,0.9,0.9,0.05,-0.9,-0.9
