,,,,nation,pos,age,born,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
,,,,,,,,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA-Ligue 1,2223,Toulouse,Mikkel Desler,DEN,DF,27,1995,27,26,2257,25.1,1,2,3,1,0,0,5,1,0.8,0.8,1.9,2.7,59,136,127,0.04,0.08,0.12,0.04,0.12,0.03,0.08,0.11,0.03,0.11
FRA-Ligue 1,2223,Toulouse,Moussa Diarra,MLI,DF,21,2000,23,12,1225,13.6,0,1,1,0,0,0,0,0,0.2,0.2,0.7,0.9,21,50,43,0.0,0.07,0.07,0.0,0.07,0.01,0.05,0.06,0.01,0.06
FRA-Ligue 1,2223,Toulouse,Naatan Skyttä,FIN,MF,20,2002,2,0,23,0.3,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,3,2,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.4,0.4,0.4
FRA-Ligue 1,2223,Toulouse,Nathan N'Goumou,CMR,FW,22,2000,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.3,0.3,1,5,7,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.25
FRA-Ligue 1,2223,Toulouse,Oliver Zandén,SWE,"DF,MF",20,2001,5,1,146,1.6,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,4,6,12,0.0,0.0,0.0,0.0,0.0,0.02,0.06,0.08,0.02,0.08
FRA-Ligue 1,2223,Toulouse,Rafael Ratão,BRA,"FW,MF",26,1995,30,25,1851,20.6,5,4,9,5,0,0,2,0,5.1,5.1,4.1,9.2,61,83,216,0.24,0.19,0.44,0.24,0.44,0.25,0.2,0.45,0.25,0.45
FRA-Ligue 1,2223,Toulouse,Rasmus Nicolaisen,DEN,DF,25,1997,34,34,2995,33.3,0,2,2,0,0,0,7,1,1.2,1.2,0.8,2.0,21,114,4,0.0,0.06,0.06,0.0,0.06,0.04,0.02,0.06,0.04,0.06
FRA-Ligue 1,2223,Toulouse,Rhys Healey,WAL,FW,27,1994,4,0,64,0.7,2,0,2,2,0,0,1,0,0.4,0.4,0.2,0.6,1,0,7,2.81,0.0,2.81,2.81,2.81,0.56,0.34,0.9,0.56,0.9
FRA-Ligue 1,2223,Toulouse,Saïd Hamulic,BIH,FW,21,2000,6,0,104,1.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.1,1,2,3,0.0,0.0,0.0,0.0,0.0,0.04,0.03,0.06,0.04,0.06
FRA-Ligue 1,2223,Toulouse,Stijn Spierings,NED,MF,26,1996,36,35,3120,34.7,2,0,2,2,0,0,6,0,1.8,1.8,2.1,3.9,31,231,30,0.06,0.0,0.06,0.06,0.06,0.05,0.06,0.11,0.05,0.11
