,,,,nation,pos,age,born,90s,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Ast,xAG,Expected,Expected,KP,1/3,PPA,CrsPA,PrgP
,,,,,,,,,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,,,xA,A-xAG,,,,,
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA-Ligue 1,2223,Lorient,Siriné Doucouré,MLI,"FW,MF",20,2002,1.5,29,46,63.0,381,112,15,22,68.2,11,17,64.7,0,0,,1,0.6,0.7,0.4,5,1,3,0,5
FRA-Ligue 1,2223,Lorient,Stéphane Diarra,FRA,"FW,MF",23,1998,11.8,240,328,73.2,3312,1087,138,180,76.7,82,107,76.6,9,15,60.0,0,1.7,0.8,-1.7,11,8,12,1,33
FRA-Ligue 1,2223,Lorient,Terem Moffi,NGA,FW,23,1999,15.4,154,208,74.0,2056,532,89,117,76.1,54,66,81.8,3,5,60.0,0,0.5,0.7,-0.5,9,14,5,0,20
FRA-Ligue 1,2223,Lorient,Théo Le Bris,FRA,"MF,DF",19,2002,16.1,491,611,80.4,6675,1852,304,358,84.9,160,187,85.6,10,24,41.7,2,1.2,1.7,0.8,14,26,11,2,47
FRA-Ligue 1,2223,Lorient,Vincent Le Goff,FRA,DF,32,1989,37.0,1702,2044,83.3,26725,11113,867,967,89.7,690,791,87.2,93,189,49.2,0,0.7,1.7,-0.7,14,135,28,9,178
FRA-Ligue 1,2223,Lorient,Vito Mannone,ITA,GK,34,1988,17.9,444,583,76.2,10835,7099,94,95,98.9,252,255,98.8,97,232,41.8,0,0.0,0.0,0.0,0,2,0,0,0
FRA-Ligue 1,2223,Lorient,Yoann Cathline,FRA,"FW,MF",20,2002,12.1,241,361,66.8,3681,1269,134,170,78.8,82,129,63.6,17,37,45.9,1,0.7,0.7,0.3,6,14,13,6,29
FRA-Ligue 1,2223,Lorient,Yvon Mvogo,SUI,GK,28,1994,20.1,466,622,74.9,12098,8637,114,114,100.0,211,211,100.0,136,287,47.4,0,0.0,0.0,0.0,0,5,0,0,0
FRA-Ligue 1,2223,Lyon,Alexandre Lacazette,FRA,FW,31,1991,32.5,661,917,72.1,9241,2675,352,457,77.0,205,269,76.2,37,68,54.4,5,5.4,5.6,-0.4,48,59,48,1,108
FRA-Ligue 1,2223,Lyon,Amin Sarr,SWE,FW,21,2001,6.0,104,142,73.2,1376,210,62,83,74.7,25,36,69.4,7,7,100.0,1,0.4,0.3,0.6,4,6,4,0,9
