,,,,nation,pos,age,born,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG)
,,,,,,,,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,
GER-Bundesliga,2324,Werder Bremen,Nick Woltemade,GER,"FW,MF",21,2002,30,1189,40,38.9,13.2,12,73,1,18,18,3,1.37,20,17,3,0.23,0.66,20.9,20.9,0.0,0.0,0.46
GER-Bundesliga,2324,Werder Bremen,Niclas Füllkrug,GER,FW,30,1993,2,180,90,5.9,2.0,2,90,2,0,,0,0.0,0,5,-5,-2.5,-2.47,1.6,5.2,-3.6,-1.82,-1.63
GER-Bundesliga,2324,Werder Bremen,Nicolai Rapp,GER,DF,26,1996,2,76,38,2.5,0.8,1,71,0,1,5,9,0.0,1,2,-1,-1.18,-1.03,0.8,1.4,-0.6,-0.72,-0.45
GER-Bundesliga,2324,Werder Bremen,Niklas Stark,GER,DF,28,1995,17,1088,64,35.6,12.1,12,85,10,5,13,3,1.47,20,16,4,0.33,0.79,20.3,17.9,2.5,0.21,0.76
GER-Bundesliga,2324,Werder Bremen,Oliver Burke,SCO,FW,26,1997,1,32,32,1.0,0.4,0,,0,1,32,0,0.0,0,3,-3,-8.44,-8.35,0.1,1.7,-1.6,-4.44,-4.2
GER-Bundesliga,2324,Werder Bremen,Olivier Deman,BEL,DF,23,2000,29,1365,47,44.6,15.2,14,82,7,15,14,1,1.34,26,27,-1,-0.07,0.2,21.4,25.0,-3.6,-0.23,0.08
GER-Bundesliga,2324,Werder Bremen,Rafael Borré,COL,FW,27,1995,19,991,52,32.4,11.0,11,77,2,8,19,1,1.37,13,18,-5,-0.45,-0.41,12.8,17.4,-4.6,-0.42,-0.21
GER-Bundesliga,2324,Werder Bremen,Romano Schmid,AUT,"MF,FW",23,2000,33,2601,79,85.0,28.9,30,84,13,3,23,0,1.27,43,48,-5,-0.17,0.02,38.6,48.4,-9.9,-0.34,-0.4
GER-Bundesliga,2324,Werder Bremen,Senne Lynen,BEL,MF,24,1999,32,1797,56,58.7,20.0,20,80,10,12,16,1,1.31,29,28,1,0.05,0.55,27.5,30.7,-3.2,-0.16,0.3
GER-Bundesliga,2324,Werder Bremen,Skelly Alvero,FRA,MF,21,2002,6,123,21,4.0,1.4,1,78,0,5,9,3,0.5,1,1,0,0.0,0.18,2.0,1.7,0.3,0.18,0.49
GER-Bundesliga,2324,Werder Bremen,Spyridon Angelidis,GRE,GK,18,2005,0,,,,,0,,0,0,,1,,,,,,,,,,,
GER-Bundesliga,2324,Wolfsburg,Amin Sarr,SWE,"FW,MF",22,2001,14,386,28,12.6,4.3,2,68,0,12,21,6,0.71,2,8,-6,-1.4,-1.1,4.9,5.0,0.0,-0.01,0.17
GER-Bundesliga,2324,Wolfsburg,Anders Børset,NOR,DF,17,2006,0,,,,,0,,0,0,,1,,,,,,,,,,,
GER-Bundesliga,2324,Wolfsburg,Aster Vranckx,BEL,MF,20,2002,24,1153,48,37.7,12.8,12,84,9,12,13,3,1.21,13,24,-11,-0.86,-0.67,12.6,20.6,-8.0,-0.62,-0.74
GER-Bundesliga,2324,Wolfsburg,Bennit Bröger,GER,FW,17,2006,1,11,11,0.4,0.1,0,,0,1,11,0,0.0,0,1,-1,-8.18,-7.77,0.1,0.5,-0.4,-3.0,-2.85
GER-Bundesliga,2324,Wolfsburg,Cedric Zesiger,SUI,DF,25,1998,23,1634,71,53.4,18.2,18,84,14,5,24,10,1.35,20,32,-12,-0.66,-0.47,22.4,27.4,-5.0,-0.27,-0.24
GER-Bundesliga,2324,Wolfsburg,Dženan Pejčinović,GER,FW,18,2005,4,37,9,1.2,0.4,0,,0,4,9,4,0.75,0,0,0,0.0,0.45,1.1,0.1,1.0,2.39,2.59
GER-Bundesliga,2324,Wolfsburg,Jakub Kamiński,POL,"FW,MF",21,2002,17,473,28,15.5,5.3,4,69,1,13,15,12,1.24,4,9,-5,-0.95,-0.6,4.6,6.3,-1.7,-0.31,-0.18
GER-Bundesliga,2324,Wolfsburg,Joakim Mæhle,DEN,"DF,MF",26,1997,30,2452,82,80.1,27.2,27,87,22,3,33,1,1.03,34,44,-10,-0.37,0.37,33.4,34.2,-0.8,-0.03,0.67
GER-Bundesliga,2324,Wolfsburg,Jonas Wind,DEN,FW,24,1999,34,2651,78,86.6,29.5,31,84,16,3,16,0,1.09,38,47,-9,-0.31,1.01,34.6,38.3,-3.8,-0.13,0.26
GER-Bundesliga,2324,Wolfsburg,Kevin Behrens,GER,FW,32,1991,13,616,47,20.1,6.8,7,78,1,6,12,2,1.15,8,11,-3,-0.44,0.0,9.6,7.6,2.0,0.29,0.56
GER-Bundesliga,2324,Wolfsburg,Kevin Paredes,USA,"FW,MF",20,2003,28,1432,51,46.8,15.9,15,80,6,13,18,3,1.07,20,27,-7,-0.44,0.0,20.1,18.1,2.0,0.12,0.54
GER-Bundesliga,2324,Wolfsburg,Kilian Fischer,GER,"DF,MF",22,2000,6,291,49,9.5,3.2,4,69,1,2,9,18,1.67,3,5,-2,-0.62,-0.2,3.1,4.7,-1.6,-0.48,-0.36
GER-Bundesliga,2324,Wolfsburg,Koen Casteels,BEL,GK,31,1992,25,2250,90,73.5,25.0,25,90,25,0,,0,1.2,31,39,-8,-0.32,0.46,27.4,34.8,-7.3,-0.29,-0.49
GER-Bundesliga,2324,Wolfsburg,Kofi Amoako,GER,MF,18,2005,2,2,1,0.1,0.0,0,,0,2,1,4,2.0,0,0,0,0.0,0.44,0.0,0.0,0.0,0.0,0.16
GER-Bundesliga,2324,Wolfsburg,Lovro Majer,CRO,"MF,FW",25,1998,32,2106,66,68.8,23.4,25,76,4,7,30,2,0.97,32,38,-6,-0.26,0.59,28.8,30.5,-1.7,-0.07,0.29
GER-Bundesliga,2324,Wolfsburg,Lukas Nmecha,GER,FW,24,1998,3,42,14,1.4,0.5,0,,0,3,14,0,0.67,1,1,0,0.0,0.45,0.5,0.5,0.0,0.02,0.19
GER-Bundesliga,2324,Wolfsburg,Mattias Svanberg,SWE,MF,24,1999,25,1715,69,56.0,19.1,20,80,5,5,25,4,1.16,25,33,-8,-0.42,0.05,23.4,27.8,-4.4,-0.23,-0.15
GER-Bundesliga,2324,Wolfsburg,Maxence Lacroix,FRA,DF,23,2000,28,2362,84,77.2,26.2,27,87,23,1,15,0,1.25,33,40,-7,-0.27,0.76,32.5,34.3,-1.8,-0.07,0.41
GER-Bundesliga,2324,Wolfsburg,Maximilian Arnold,GER,MF,29,1994,30,2506,84,81.9,27.8,27,90,26,3,26,0,1.0,32,49,-17,-0.61,-0.94,30.6,37.4,-6.7,-0.24,-0.43
GER-Bundesliga,2324,Wolfsburg,Moritz Jenz,GER,DF,24,1999,22,1742,79,56.9,19.4,21,81,16,1,45,6,0.82,23,32,-9,-0.46,-0.06,20.2,23.3,-3.1,-0.16,0.01
GER-Bundesliga,2324,Wolfsburg,Nicolas Cozza,FRA,DF,24,1999,6,276,46,9.0,3.1,3,70,0,3,22,8,1.33,4,7,-3,-0.98,-0.59,3.4,2.5,0.9,0.29,0.49
GER-Bundesliga,2324,Wolfsburg,Niklas Klinger,GER,GK,27,1995,0,,,,,0,,0,0,,7,,,,,,,,,,,
GER-Bundesliga,2324,Wolfsburg,Patrick Wimmer,AUT,"FW,MF",22,2001,14,589,42,19.2,6.5,8,61,0,6,17,4,1.36,14,8,6,0.92,1.68,8.3,5.7,2.6,0.4,0.69
GER-Bundesliga,2324,Wolfsburg,Pavao Pervan,AUT,GK,35,1987,9,810,90,26.5,9.0,9,90,9,0,,25,0.78,10,17,-7,-0.78,-0.46,11.7,10.0,1.8,0.2,0.49
GER-Bundesliga,2324,Wolfsburg,Philipp Schulze,GER,GK,20,2003,0,,,,,0,,0,0,,4,,,,,,,,,,,
GER-Bundesliga,2324,Wolfsburg,Ridle Baku,GER,"DF,MF",25,1998,33,2013,61,65.8,22.4,22,81,10,11,20,0,1.09,28,34,-6,-0.27,0.51,24.8,29.9,-5.2,-0.23,-0.2
GER-Bundesliga,2324,Wolfsburg,Rogério,BRA,DF,25,1998,13,906,70,29.6,10.1,10,83,7,3,26,3,0.77,10,15,-5,-0.5,-0.08,9.6,13.7,-4.1,-0.41,-0.35
GER-Bundesliga,2324,Wolfsburg,Sebastiaan Bornauw,BEL,DF,24,1999,20,1431,72,46.8,15.9,16,84,12,4,20,7,1.1,17,30,-13,-0.82,-0.71,14.0,22.9,-8.9,-0.56,-0.74
GER-Bundesliga,2324,Wolfsburg,Tiago Tomás,POR,"FW,MF",21,2002,26,1032,40,33.7,11.5,11,63,0,15,23,2,1.08,11,20,-9,-0.78,-0.52,12.5,18.2,-5.7,-0.5,-0.51
GER-Bundesliga,2324,Wolfsburg,Václav Černý,CZE,"FW,MF",25,1997,22,921,42,30.1,10.2,12,67,0,10,12,8,0.91,13,17,-4,-0.39,0.07,12.5,13.4,-0.9,-0.09,0.1
GER-Bundesliga,2324,Wolfsburg,Yannick Gerhardt,GER,"MF,DF",29,1994,25,1630,65,53.3,18.1,18,84,8,7,18,5,1.36,23,23,0,0.0,0.94,22.5,21.6,1.0,0.05,0.46
