,,,,nation,pos,age,born,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG)
,,,,,,,,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2122,Elche,John Donald,ESP,DF,20,2000,2,180,90,5.3,2.0,2,90,2,0,,12,1.5,3,2,1,0.5,0.86,3.2,3.4,-0.2,-0.11,0.59
ESP-La Liga,2122,Elche,Jony Álamo,ESP,MF,19,2001,0,,,,,0,,0,0,,8,,,,,,,,,,,
ESP-La Liga,2122,Elche,Josan,ESP,"DF,MF",31,1989,31,1211,39,35.4,13.5,10,75,4,21,22,7,1.1,17,25,-8,-0.59,-0.43,14.8,22.7,-8.0,-0.59,0.12
ESP-La Liga,2122,Elche,Josema,ESP,DF,25,1996,6,183,31,5.4,2.0,1,77,0,5,21,12,1.33,3,5,-2,-0.98,-0.71,1.6,3.4,-1.8,-0.86,-0.2
ESP-La Liga,2122,Elche,José Friaza,ESP,FW,19,2002,0,,,,,0,,0,0,,2,,,,,,,,,,,
ESP-La Liga,2122,Elche,Kike Pérez,ESP,"MF,FW",24,1997,12,519,43,15.2,5.8,5,76,0,7,20,4,1.08,7,5,2,0.35,0.78,7.0,7.4,-0.3,-0.05,0.73
ESP-La Liga,2122,Elche,Kiko Casilla,ESP,GK,34,1986,14,1260,90,36.8,14.0,14,90,14,0,,20,0.93,12,17,-5,-0.36,-0.07,11.8,18.9,-7.2,-0.51,0.25
ESP-La Liga,2122,Elche,Lluis Andreu,ESP,GK,22,1999,0,,,,,0,,0,0,,16,,,,,,,,,,,
ESP-La Liga,2122,Elche,Lucas Boyé,ARG,FW,25,1996,24,1713,71,50.1,19.0,22,75,9,2,30,0,1.0,20,25,-5,-0.26,0.11,16.1,30.0,-13.9,-0.73,-0.13
ESP-La Liga,2122,Elche,Lucas Olaza,URU,DF,27,1994,5,295,59,8.6,3.3,3,90,3,2,13,10,1.8,5,4,1,0.31,0.68,4.1,5.4,-1.3,-0.39,0.3
ESP-La Liga,2122,Elche,Lucas Pérez,ESP,FW,32,1988,18,1266,70,37.0,14.1,16,75,3,2,30,0,1.11,17,21,-4,-0.28,0.05,12.7,23.2,-10.5,-0.75,-0.12
ESP-La Liga,2122,Elche,Marco Soler,ESP,DF,21,2000,0,,,,,0,,0,0,,3,,,,,,,,,,,
ESP-La Liga,2122,Elche,Omar Mascarell,EQG,MF,28,1993,32,2493,78,72.9,27.7,30,82,15,2,17,2,1.13,28,39,-11,-0.4,-0.3,23.4,40.8,-17.4,-0.63,0.15
ESP-La Liga,2122,Elche,Pablo Piatti,ARG,"MF,FW",32,1989,10,312,31,9.1,3.5,3,67,0,7,16,21,1.0,3,6,-3,-0.87,-0.6,2.1,7.2,-5.1,-1.47,-0.88
ESP-La Liga,2122,Elche,Pedro Bigas,ESP,DF,30,1990,19,1551,82,45.4,17.2,19,82,13,0,,5,1.05,18,26,-8,-0.46,-0.27,15.5,22.9,-7.4,-0.43,0.44
ESP-La Liga,2122,Elche,Pere Milla,ESP,"MF,FW",28,1992,32,1644,51,48.1,18.3,17,77,8,15,22,5,1.16,22,24,-2,-0.11,0.4,16.6,29.3,-12.6,-0.69,-0.04
ESP-La Liga,2122,Elche,Raúl Guti,ESP,MF,24,1996,31,1627,52,47.6,18.1,17,79,8,14,21,5,1.0,16,17,-1,-0.06,0.5,13.9,26.0,-12.1,-0.67,0.0
ESP-La Liga,2122,Elche,Sergio Bono Juan,ESP,DF,21,2000,0,,,,,0,,0,0,,1,,,,,,,,,,,
ESP-La Liga,2122,Elche,Tete Morente,ESP,MF,24,1996,32,1632,51,47.7,18.1,18,70,3,14,27,5,1.06,21,22,-1,-0.06,0.5,18.4,27.6,-9.1,-0.5,0.32
