league,season,game,week,day,date,time,home_team,home_xg,score,away_xg,away_team,attendance,venue,referee,match_report,notes,game_id
ITA-Serie A,2122,2021-12-05 Sampdoria-Lazio,16,Sun,2021-12-05,18:00,Sampdoria,1.3,1–3,0.9,Lazio,5883,Stadio Comunale Luigi Ferraris,Michael Fabbri,/en/matches/96f5a2b4/Sampdoria-Lazio-December-5-2021-Serie-A,,96f5a2b4
ITA-Serie A,2122,2021-12-05 Spezia-Sassuolo,16,Sun,2021-12-05,15:00,Spezia,2.5,2–2,1.5,Sassuolo,4987,Stadio Alberto Picco,Fabio Maresca,/en/matches/b6946f8b/Spezia-Sassuolo-December-5-2021-Serie-A,,b6946f8b
ITA-Serie A,2122,2021-12-05 Venezia-Hellas Verona,16,Sun,2021-12-05,15:00,Venezia,1.5,3–4,2.0,Hellas Verona,7608,Stadio Pierluigi Penzo,Alessandro Prontera,/en/matches/5fe82949/Venezia-Hellas-Verona-December-5-2021-Serie-A,,5fe82949
ITA-Serie A,2122,2021-12-06 Cagliari-Torino,16,Mon,2021-12-06,20:45,Cagliari,1.2,1–1,1.9,Torino,8799,Unipol Domus,Luca Massimi,/en/matches/4b37a18e/Cagliari-Torino-December-6-2021-Serie-A,,4b37a18e
ITA-Serie A,2122,2021-12-06 Empoli-Udinese,16,Mon,2021-12-06,18:30,Empoli,2.4,3–1,1.8,Udinese,4808,Stadio Carlo Castellani,Daniele Paterna,/en/matches/ea327b27/Empoli-Udinese-December-6-2021-Serie-A,,ea327b27
ITA-Serie A,2122,2021-12-10 Genoa-Sampdoria,17,Fri,2021-12-10,20:45,Genoa,1.0,1–3,1.7,Sampdoria,,Stadio Comunale Luigi Ferraris,Daniele Doveri,/en/matches/2c8ad04c/Genoa-Sampdoria-December-10-2021-Serie-A,,2c8ad04c
ITA-Serie A,2122,2021-12-11 Fiorentina-Salernitana,17,Sat,2021-12-11,15:00,Fiorentina,2.2,4–0,0.8,Salernitana,18579,Stadio Artemio Franchi,Davide Ghersini,/en/matches/2258a253/Fiorentina-Salernitana-December-11-2021-Serie-A,,2258a253
ITA-Serie A,2122,2021-12-11 Udinese-Milan,17,Sat,2021-12-11,20:45,Udinese,2.4,1–1,0.9,Milan,16385,Dacia Arena,Francesco Fourneau,/en/matches/083343fd/Udinese-Milan-December-11-2021-Serie-A,,083343fd
ITA-Serie A,2122,2021-12-11 Venezia-Juventus,17,Sat,2021-12-11,18:00,Venezia,0.4,1–1,1.9,Juventus,8350,Stadio Pierluigi Penzo,Paolo Valeri,/en/matches/6a984333/Venezia-Juventus-December-11-2021-Serie-A,,6a984333
ITA-Serie A,2122,2021-12-12 Hellas Verona-Atalanta,17,Sun,2021-12-12,15:00,Hellas Verona,1.3,1–2,0.9,Atalanta,15000,Stadio Marc'Antonio Bentegodi,Juan Sacchi,/en/matches/cd17ca07/Hellas-Verona-Atalanta-December-12-2021-Serie-A,,cd17ca07
ITA-Serie A,2122,2021-12-12 Inter-Cagliari,17,Sun,2021-12-12,20:45,Inter,3.3,4–0,0.3,Cagliari,33712,Stadio Giuseppe Meazza,Matteo Marchetti,/en/matches/c5ba8fd5/Internazionale-Cagliari-December-12-2021-Serie-A,,c5ba8fd5
ITA-Serie A,2122,2021-12-12 Napoli-Empoli,17,Sun,2021-12-12,18:00,Napoli,1.8,0–1,0.7,Empoli,20000,Stadio Diego Armando Maradona,Livio Marinelli,/en/matches/9b5a9479/Napoli-Empoli-December-12-2021-Serie-A,,9b5a9479
