,,,,nation,pos,age,born,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG)
,,,,,,,,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA-Ligue 1,2122,Bordeaux,Benoît Costil,FRA,GK,34,1987,25,2250,90,65.8,25.0,25,90,25,0,,4,0.68,34,62,-28,-1.12,-0.27,30.2,47.8,-17.6,-0.7,-0.37
FRA-Ligue 1,2122,Bordeaux,Danylo Ihnatenko,UKR,MF,24,1997,11,692,63,20.2,7.7,7,90,7,4,16,1,1.0,12,13,-1,-0.13,1.12,13.5,8.9,4.6,0.6,1.48
FRA-Ligue 1,2122,Bordeaux,Davy Rouyard,GLP,GK,21,1999,0,,,,,0,,0,0,,8,,,,,,,,,,,
FRA-Ligue 1,2122,Bordeaux,Dilane Bakwa,FRA,"FW,MF",18,2002,5,43,9,1.3,0.5,0,,0,5,9,4,1.4,0,2,-2,-4.19,-3.2,0.3,1.6,-1.3,-2.37,-1.82
FRA-Ligue 1,2122,Bordeaux,Enock Kwateng,FRA,DF,24,1997,29,2002,69,58.5,22.2,22,86,17,7,17,3,0.9,34,53,-19,-0.85,0.42,27.4,40.4,-13.0,-0.58,-0.02
FRA-Ligue 1,2122,Bordeaux,Fransérgio,BRA,MF,30,1990,26,1258,48,36.8,14.0,14,75,6,12,17,8,0.69,17,47,-30,-2.15,-1.77,17.0,30.2,-13.2,-0.95,-0.58
FRA-Ligue 1,2122,Bordeaux,Gaëtan Poussin,FRA,GK,22,1999,13,1170,90,34.2,13.0,13,90,13,0,,23,1.08,18,29,-11,-0.85,0.27,14.7,19.0,-4.3,-0.33,0.37
FRA-Ligue 1,2122,Bordeaux,Gideon Mensah,GHA,DF,23,1998,23,1208,53,35.3,13.4,13,79,8,10,18,7,0.48,14,35,-21,-1.56,-0.83,13.9,23.7,-9.8,-0.73,-0.24
FRA-Ligue 1,2122,Bordeaux,Hwang Ui-jo,KOR,FW,28,1992,32,2508,78,73.3,27.9,29,83,9,3,35,0,0.78,38,66,-28,-1.0,0.08,30.3,46.9,-16.6,-0.6,-0.08
FRA-Ligue 1,2122,Bordeaux,Issouf Sissokho,MLI,MF,19,2002,7,436,62,12.7,4.8,6,72,2,1,4,5,0.29,3,11,-8,-1.65,-0.72,3.0,11.0,-8.0,-1.66,-1.24
FRA-Ligue 1,2122,Bordeaux,Jacques Ekomie,GAB,DF,17,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,
FRA-Ligue 1,2122,Bordeaux,Javairô Dilrosun,NED,"MF,FW",23,1998,32,1732,54,50.6,19.2,19,75,2,13,24,2,0.84,28,40,-12,-0.62,0.82,25.3,33.2,-7.9,-0.41,0.34
FRA-Ligue 1,2122,Bordeaux,Jean Onana,CMR,MF,21,2000,23,1832,80,53.6,20.4,23,80,9,0,,1,0.65,31,47,-16,-0.79,0.52,24.4,34.6,-10.2,-0.5,0.16
FRA-Ligue 1,2122,Bordeaux,Jimmy Briand,FRA,"FW,MF",35,1985,17,226,13,6.6,2.5,1,62,0,16,10,8,0.88,6,2,4,1.59,2.8,6.4,5.4,1.0,0.41,1.06
FRA-Ligue 1,2122,Bordeaux,Johaneko Louisjean,FRA,DF,17,2004,1,12,12,0.4,0.1,0,,0,1,12,1,3.0,0,0,0,0.0,1.03,0.1,0.0,0.1,0.47,1.05
FRA-Ligue 1,2122,Bordeaux,Josh Maja,NGA,FW,22,1998,2,9,5,0.3,0.1,0,,0,2,5,1,1.5,0,3,-3,-30.0,-29.05,0.2,1.2,-1.0,-9.59,-9.04
FRA-Ligue 1,2122,Bordeaux,Josuha Guilavogui,FRA,"MF,DF",30,1990,15,1331,89,38.9,14.8,15,89,14,0,,0,0.67,18,38,-20,-1.35,-0.53,19.1,22.9,-3.8,-0.26,0.52
FRA-Ligue 1,2122,Bordeaux,Junior Mwanga,FRA,DF,18,2003,1,90,90,2.6,1.0,1,90,1,0,,1,3.0,4,2,2,2.0,3.11,2.8,0.9,1.9,1.95,2.59
FRA-Ligue 1,2122,Bordeaux,Laurent Koscielny,FRA,DF,35,1985,11,933,85,27.3,10.4,11,85,8,0,,1,0.91,13,22,-9,-0.87,0.22,9.0,18.7,-9.7,-0.93,-0.49
FRA-Ligue 1,2122,Bordeaux,Loris Benito,SUI,DF,29,1992,1,61,61,1.8,0.7,1,61,0,0,,1,0.0,0,0,0,0.0,1.04,0.6,1.7,-1.1,-1.63,-1.07
FRA-Ligue 1,2122,Bordeaux,Loïc Bessile,TOG,DF,22,1999,0,,,,,0,,0,0,,1,,,,,,,,,,,
FRA-Ligue 1,2122,Bordeaux,M'Baye Niang,SEN,FW,26,1994,22,777,35,22.7,8.6,7,70,1,15,19,4,0.5,9,17,-8,-0.93,0.13,11.4,12.0,-0.6,-0.07,0.65
FRA-Ligue 1,2122,Bordeaux,Marcelo,BRA,DF,34,1987,11,898,82,26.3,10.0,11,82,7,0,,1,0.55,11,21,-10,-1.0,0.03,10.8,15.2,-4.4,-0.44,0.19
