,,,,nation,pos,age,born,90s,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Ast,xAG,Expected,Expected,KP,1/3,PPA,CrsPA,PrgP
,,,,,,,,,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,,,xA,A-xAG,,,,,
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA-Serie A,2223,Sassuolo,Kristian Thorstvedt,NOR,MF,23,1999,12.6,372,488,76.2,5598,1802,208,249,83.5,130,167,77.8,19,32,59.4,1,1.1,1.2,-0.1,10,44,6,1,60
ITA-Serie A,2223,Sassuolo,Luca D'Andrea,ITA,FW,17,2004,3.5,61,84,72.6,896,334,32,42,76.2,24,31,77.4,3,6,50.0,1,0.8,0.4,0.2,10,6,3,2,9
ITA-Serie A,2223,Sassuolo,Martin Erlic,CRO,DF,24,1998,25.9,1111,1295,85.8,22928,7861,323,360,89.7,609,665,91.6,168,245,68.6,0,0.2,0.6,-0.2,2,48,3,0,65
ITA-Serie A,2223,Sassuolo,Matheus Henrique,BRA,MF,24,1997,21.6,741,864,85.8,12502,3344,345,386,89.4,296,323,91.6,72,91,79.1,1,1.8,1.3,-0.8,27,85,16,0,116
ITA-Serie A,2223,Sassuolo,Maxime Lopez,FRA,MF,24,1997,25.5,1471,1673,87.9,25307,8848,676,738,91.6,611,675,90.5,144,190,75.8,0,2.1,2.3,-2.1,32,179,19,3,210
ITA-Serie A,2223,Sassuolo,Mert Müldür,TUR,"FW,DF",23,1999,0.1,3,3,100.0,30,7,3,3,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
ITA-Serie A,2223,Sassuolo,Nadir Zortea,ITA,DF,23,1999,7.3,310,410,75.6,4912,1981,164,181,90.6,121,154,78.6,19,54,35.2,1,0.7,0.5,0.3,7,23,9,4,38
ITA-Serie A,2223,Sassuolo,Nedim Bajrami,ALB,"FW,MF",23,1999,9.1,245,355,69.0,3599,922,150,174,86.2,73,100,73.0,16,52,30.8,0,1.5,1.6,-1.5,14,13,11,0,44
ITA-Serie A,2223,Sassuolo,Pedro Obiang,EQG,MF,30,1992,9.7,363,438,82.9,6702,2194,175,204,85.8,142,158,89.9,42,60,70.0,1,0.2,0.2,0.8,3,27,2,0,40
ITA-Serie A,2223,Sassuolo,Riccardo Marchizza,ITA,DF,24,1998,3.1,137,181,75.7,2272,755,73,78,93.6,54,67,80.6,10,31,32.3,1,0.3,0.1,0.7,3,10,2,1,15
ITA-Serie A,2223,Sassuolo,Rogério,BRA,DF,24,1998,33.3,1644,2038,80.7,28400,11170,820,884,92.8,618,731,84.5,174,313,55.6,3,2.7,2.2,0.3,30,126,47,25,185
ITA-Serie A,2223,Sassuolo,Ruan,BRA,DF,23,1999,19.0,835,939,88.9,16214,4320,248,275,90.2,499,535,93.3,74,97,76.3,0,0.0,0.8,0.0,1,22,1,0,22
ITA-Serie A,2223,Spezia,Albin Ekdal,SWE,MF,33,1989,19.3,606,782,77.5,8887,3150,334,401,83.3,214,260,82.3,27,60,45.0,2,1.6,0.9,0.4,10,62,17,2,80
ITA-Serie A,2223,Spezia,Arkadiusz Reca,POL,DF,27,1995,24.1,827,1197,69.1,14250,5884,393,478,82.2,320,430,74.4,89,200,44.5,1,2.2,2.1,-1.2,23,76,33,25,79
ITA-Serie A,2223,Spezia,Bartłomiej Drągowski,POL,GK,24,1997,32.7,808,1173,68.9,21748,14971,205,206,99.5,355,362,98.1,240,594,40.4,1,0.1,0.2,0.9,1,22,3,0,0
ITA-Serie A,2223,Spezia,Daniel Maldini,ITA,"FW,MF",20,2001,7.0,125,187,66.8,1665,330,72,89,80.9,33,47,70.2,7,25,28.0,0,0.5,0.3,-0.5,4,9,5,1,10
ITA-Serie A,2223,Spezia,Daniele Verde,ITA,"FW,MF",26,1996,11.1,312,443,70.4,5403,1794,143,175,81.7,128,168,76.2,35,74,47.3,0,1.3,2.4,-1.3,18,28,17,6,42
ITA-Serie A,2223,Spezia,Dimitris Nikolaou,GRE,DF,23,1998,32.9,1348,1660,81.2,24411,9983,598,652,91.7,569,651,87.4,149,298,50.0,0,0.9,0.8,-0.9,10,112,6,2,105
ITA-Serie A,2223,Spezia,Dávid Strelec,SVK,FW,21,2001,1.9,25,43,58.1,294,30,19,27,70.4,5,9,55.6,0,1,0.0,0,0.1,0.1,-0.1,1,1,0,0,1
ITA-Serie A,2223,Spezia,Eldor Shomurodov,UZB,FW,27,1995,9.0,143,205,69.8,1903,367,86,113,76.1,44,56,78.6,5,11,45.5,1,1.4,0.8,-0.4,11,7,5,1,15
ITA-Serie A,2223,Spezia,Emil Holm,SWE,DF,22,2000,15.5,342,573,59.7,5181,1707,178,246,72.4,127,204,62.3,17,63,27.0,1,1.3,1.1,-0.3,13,30,12,5,40
ITA-Serie A,2223,Spezia,Emmanuel Gyasi,GHA,"FW,DF",28,1994,31.2,646,802,80.5,8305,1651,417,475,87.8,181,226,80.1,14,26,53.8,0,1.9,1.7,-1.9,22,16,18,2,52
ITA-Serie A,2223,Spezia,Ethan Ampadu,WAL,"DF,MF",21,2000,29.3,1254,1548,81.0,23855,9527,474,538,88.1,631,707,89.3,134,253,53.0,1,1.1,0.9,-0.1,13,106,14,4,125
ITA-Serie A,2223,Spezia,Federico Marchetti,ITA,GK,39,1983,0.7,14,18,77.8,316,175,6,6,100.0,4,4,100.0,4,8,50.0,0,0.0,0.0,0.0,0,0,0,0,0
