,,,,nation,pos,age,born,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
,,,,,,,,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA-Serie A,2223,Empoli,Nicolò Cambiaghi,ITA,"FW,MF",21,2000,28,12,1285,14.3,6,1,7,6,0,0,5,1,3.4,3.4,1.1,4.5,73,42,99,0.42,0.07,0.49,0.42,0.49,0.23,0.08,0.31,0.23,0.31
ITA-Serie A,2223,Empoli,Petar Stojanović,SVN,DF,26,1995,27,16,1530,17.0,0,1,1,0,0,0,3,0,0.3,0.3,1.0,1.3,50,91,51,0.0,0.06,0.06,0.0,0.06,0.02,0.06,0.08,0.02,0.08
ITA-Serie A,2223,Empoli,Roberto Piccoli,ITA,FW,21,2001,13,6,516,5.7,2,0,2,2,0,0,0,0,1.3,1.3,0.4,1.7,8,4,25,0.35,0.0,0.35,0.35,0.35,0.22,0.07,0.29,0.22,0.29
ITA-Serie A,2223,Empoli,Răzvan Marin,ROU,MF,26,1996,33,28,2538,28.2,2,4,6,2,0,0,7,0,1.4,1.4,4.2,5.5,35,118,27,0.07,0.14,0.21,0.07,0.21,0.05,0.15,0.2,0.05,0.2
ITA-Serie A,2223,Empoli,Sam Lammers,NED,FW,25,1997,14,10,883,9.8,1,1,2,1,0,0,0,0,2.3,2.3,0.7,2.9,9,19,67,0.1,0.1,0.2,0.1,0.2,0.23,0.07,0.3,0.23,0.3
ITA-Serie A,2223,Empoli,Samir Ujkani,KVX,GK,34,1988,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITA-Serie A,2223,Empoli,Samuele Perisan,ITA,GK,24,1997,7,7,630,7.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITA-Serie A,2223,Empoli,Sebastian Walukiewicz,POL,DF,22,2000,11,6,603,6.7,0,0,0,0,0,0,0,0,0.3,0.3,0.1,0.4,6,13,0,0.0,0.0,0.0,0.0,0.0,0.05,0.01,0.07,0.05,0.07
ITA-Serie A,2223,Empoli,Sebastiano Luperto,ITA,DF,25,1996,36,36,3135,34.8,2,0,2,2,0,0,4,2,1.2,1.2,0.6,1.9,13,72,3,0.06,0.0,0.06,0.06,0.06,0.04,0.02,0.05,0.04,0.05
ITA-Serie A,2223,Empoli,Tommaso Baldanzi,ITA,MF,19,2003,26,24,1772,19.7,4,0,4,4,0,0,2,0,2.4,2.4,1.8,4.2,57,69,94,0.2,0.0,0.2,0.2,0.2,0.12,0.09,0.21,0.12,0.21
ITA-Serie A,2223,Empoli,Tyronne Ebuehi,NGA,DF,26,1995,26,22,1923,21.4,2,4,6,2,0,0,0,0,3.1,3.1,1.9,5.0,31,41,42,0.09,0.19,0.28,0.09,0.28,0.14,0.09,0.23,0.14,0.23
ITA-Serie A,2223,Fiorentina,Aleksa Terzić,SRB,DF,22,1999,22,8,935,10.4,1,1,2,1,0,0,2,0,0.4,0.4,1.9,2.3,49,40,61,0.1,0.1,0.19,0.1,0.19,0.04,0.18,0.22,0.04,0.22
ITA-Serie A,2223,Fiorentina,Alessandro Bianco,ITA,MF,19,2002,7,2,153,1.7,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,4,9,2,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.05,0.04,0.05
ITA-Serie A,2223,Fiorentina,Alfred Duncan,GHA,MF,29,1993,25,13,1103,12.3,1,0,1,1,0,0,3,0,0.5,0.5,0.6,1.1,18,70,30,0.08,0.0,0.08,0.08,0.08,0.04,0.05,0.09,0.04,0.09
ITA-Serie A,2223,Fiorentina,Antonín Barák,CZE,MF,27,1994,30,21,1799,20.0,2,0,2,2,0,0,4,0,2.6,2.6,1.6,4.1,45,82,93,0.1,0.0,0.1,0.1,0.1,0.13,0.08,0.21,0.13,0.21
ITA-Serie A,2223,Fiorentina,Arthur Cabral,BRA,FW,24,1998,28,15,1432,15.9,8,1,9,6,2,2,4,0,7.9,6.3,0.8,7.0,11,21,86,0.5,0.06,0.57,0.38,0.44,0.49,0.05,0.54,0.39,0.44
ITA-Serie A,2223,Fiorentina,Christian Kouamé,CIV,FW,24,1997,28,22,1866,20.7,4,4,8,4,0,0,5,0,5.3,5.3,3.7,9.0,50,54,203,0.19,0.19,0.39,0.19,0.39,0.26,0.18,0.43,0.26,0.43
ITA-Serie A,2223,Fiorentina,Cristiano Biraghi,ITA,DF,29,1992,33,30,2551,28.3,2,4,6,2,0,1,1,0,1.8,1.1,5.5,6.6,69,161,113,0.07,0.14,0.21,0.07,0.21,0.07,0.19,0.26,0.04,0.23
ITA-Serie A,2223,Fiorentina,Dodô,BRA,DF,23,1998,33,28,2331,25.9,1,3,4,1,0,0,5,1,0.7,0.7,2.2,2.9,72,141,104,0.04,0.12,0.15,0.04,0.15,0.03,0.09,0.11,0.03,0.11
ITA-Serie A,2223,Fiorentina,Gaetano Castrovilli,ITA,MF,25,1997,15,7,718,8.0,2,1,3,2,0,0,3,0,1.2,1.2,1.1,2.3,12,14,16,0.25,0.13,0.38,0.25,0.38,0.15,0.14,0.29,0.15,0.29
ITA-Serie A,2223,Fiorentina,Giacomo Bonaventura,ITA,MF,32,1989,30,21,1911,21.2,5,1,6,5,0,0,4,1,4.3,4.3,3.1,7.4,64,102,91,0.24,0.05,0.28,0.24,0.28,0.2,0.15,0.35,0.2,0.35
ITA-Serie A,2223,Fiorentina,Igor,BRA,DF,24,1998,27,23,2057,22.9,0,0,0,0,0,0,10,1,0.5,0.5,0.2,0.8,19,76,2,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03
