,,,,nation,pos,age,born,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
,,,,,,,,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2223,Athletic Club,Iñigo Martínez,ESP,DF,31,1991,15,15,1338,14.9,1,0,1,1,0,0,1,0,0.8,0.8,0.3,1.1,11,60,4,0.07,0.0,0.07,0.07,0.07,0.06,0.02,0.08,0.06,0.08
ESP-La Liga,2223,Athletic Club,Jon Morcillo,ESP,"FW,MF",23,1998,10,0,76,0.8,0,1,1,0,0,0,0,0,0.1,0.1,0.3,0.5,6,2,15,0.0,1.18,1.18,0.0,1.18,0.2,0.42,0.62,0.2,0.62
ESP-La Liga,2223,Athletic Club,Julen Agirrezabala,ESP,GK,21,2000,8,7,675,7.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ESP-La Liga,2223,Athletic Club,Mikel Balenziaga,ESP,DF,34,1988,3,1,115,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,7,6,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02
ESP-La Liga,2223,Athletic Club,Mikel Vesga,ESP,MF,29,1993,36,28,2575,28.6,3,3,6,1,2,3,5,0,3.9,1.5,1.5,3.0,26,199,31,0.1,0.1,0.21,0.03,0.14,0.14,0.05,0.19,0.05,0.11
ESP-La Liga,2223,Athletic Club,Nico Williams,ESP,FW,20,2002,36,32,2656,29.5,6,4,10,6,0,0,3,0,4.9,4.9,6.4,11.3,174,80,321,0.2,0.14,0.34,0.2,0.34,0.17,0.22,0.38,0.17,0.38
ESP-La Liga,2223,Athletic Club,Oier Zarraga,ESP,MF,23,1999,26,6,852,9.5,0,0,0,0,0,0,5,0,1.3,1.3,1.1,2.4,12,37,32,0.0,0.0,0.0,0.0,0.0,0.13,0.12,0.25,0.13,0.25
ESP-La Liga,2223,Athletic Club,Oihan Sancet,ESP,MF,22,2000,36,32,2532,28.1,10,2,12,8,2,2,6,1,7.6,6.0,4.2,10.2,91,159,156,0.36,0.07,0.43,0.28,0.36,0.27,0.15,0.42,0.21,0.36
ESP-La Liga,2223,Athletic Club,Raúl García,ESP,"FW,MF",36,1986,35,6,967,10.7,2,3,5,2,0,0,4,0,5.2,5.2,1.1,6.3,12,38,62,0.19,0.28,0.47,0.19,0.47,0.48,0.1,0.59,0.48,0.59
ESP-La Liga,2223,Athletic Club,Unai Simón,ESP,GK,25,1997,31,31,2745,30.5,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
