,,,,nation,pos,age,born,90s,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
,,,,,,,,,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,
FRA-Ligue 1,2122,Paris S-G,Xavi Simons,NED,"MF,FW",18,2003,1.5,0,2,0,0.0,1.36,0.0,0.0,,13.4,0,0,0,0.2,0.2,0.1,-0.2,-0.2
FRA-Ligue 1,2122,Paris S-G,Ángel Di María,ARG,FW,33,1988,18.3,5,51,22,43.1,2.79,1.2,0.1,0.23,19.7,1,0,0,5.4,5.4,0.11,-0.4,-0.4
FRA-Ligue 1,2122,Reims,Alexis Flips,FRA,"MF,DF",21,2000,11.7,2,18,9,50.0,1.53,0.77,0.06,0.11,25.0,1,1,1,2.0,1.2,0.07,0.0,-0.2
FRA-Ligue 1,2122,Reims,Anastasios Donis,GRE,"FW,MF",24,1996,4.1,0,10,0,0.0,2.43,0.0,0.0,,19.4,0,0,0,0.9,0.9,0.09,-0.9,-0.9
FRA-Ligue 1,2122,Reims,Andrew Gravillon,GLP,DF,23,1998,23.7,0,16,4,25.0,0.67,0.17,0.0,0.0,20.5,2,0,0,0.8,0.8,0.05,-0.8,-0.8
FRA-Ligue 1,2122,Reims,Arber Zeneli,KVX,FW,26,1995,4.5,2,11,3,27.3,2.42,0.66,0.18,0.67,16.8,0,0,0,1.3,1.3,0.12,0.7,0.7
FRA-Ligue 1,2122,Reims,Azor Matusiwa,NED,MF,23,1998,27.4,1,10,5,50.0,0.37,0.18,0.1,0.2,23.7,0,0,0,0.4,0.4,0.04,0.6,0.6
FRA-Ligue 1,2122,Reims,Bradley Locko,FRA,"MF,DF",19,2002,11.2,1,7,2,28.6,0.62,0.18,0.14,0.5,24.1,0,0,0,0.2,0.2,0.03,0.8,0.8
FRA-Ligue 1,2122,Reims,Dion Lopy,SEN,MF,19,2002,18.2,0,16,2,12.5,0.88,0.11,0.0,0.0,23.8,0,0,0,1.0,1.0,0.06,-1.0,-1.0
FRA-Ligue 1,2122,Reims,El Bilal Touré,MLI,FW,19,2001,13.3,2,32,10,31.3,2.41,0.75,0.03,0.1,14.0,0,1,1,4.1,3.3,0.1,-2.1,-2.3
