league,season,game,round,week,day,date,time,home_team,home_xg,score,away_xg,away_team,attendance,venue,referee,match_report,notes,game_id
FRA-Ligue 1,2324,2023-12-02 Lens-Lyon,Ligue 1,14,Sat,2023-12-02,17:00,Lens,2.1,3–2,2.5,Lyon,38130,Stade Bollaert-Delelis,Clément Turpin,/en/matches/66f5f256/Lens-Lyon-December-2-2023-Ligue-1,,66f5f256
FRA-Ligue 1,2324,2023-12-02 Nantes-Nice,Ligue 1,14,Sat,2023-12-02,21:00,Nantes,1.4,1–0,1.3,Nice,26560,Stade de la Beaujoire - Louis Fonteneau,Ruddy Buquet,/en/matches/b0ae3622/Nantes-Nice-December-2-2023-Ligue-1,,b0ae3622
FRA-Ligue 1,2324,2023-12-03 Brest-Clermont Foot,Ligue 1,14,Sun,2023-12-03,15:00,Brest,1.4,3–0,0.8,Clermont Foot,14324,Stade Francis-Le Blé,Marc Bollengier,/en/matches/9f17a676/Brest-Clermont-Foot-December-3-2023-Ligue-1,,9f17a676
FRA-Ligue 1,2324,2023-12-03 Le Havre-Paris S-G,Ligue 1,14,Sun,2023-12-03,13:00,Le Havre,2.0,0–2,1.2,Paris S-G,23718,Stade Océane,Bastien Dechepy,/en/matches/b6e6fdfe/Le-Havre-Paris-Saint-Germain-December-3-2023-Ligue-1,,b6e6fdfe
FRA-Ligue 1,2324,2023-12-03 Lille-Metz,Ligue 1,14,Sun,2023-12-03,17:05,Lille,2.9,2–0,1.9,Metz,38065,Decathlon Arena - Stade Pierre-Mauroy,Gaël Angoula,/en/matches/1edcab1f/Lille-Metz-December-3-2023-Ligue-1,,1edcab1f
FRA-Ligue 1,2324,2023-12-03 Marseille-Rennes,Ligue 1,14,Sun,2023-12-03,20:45,Marseille,0.9,2–0,0.6,Rennes,54162,Orange Vélodrome,Willy Delajod,/en/matches/caadf3f7/Marseille-Rennes-December-3-2023-Ligue-1,,caadf3f7
FRA-Ligue 1,2324,2023-12-03 Monaco-Montpellier,Ligue 1,14,Sun,2023-12-03,15:00,Monaco,2.2,2–0,0.9,Montpellier,4599,Stade Louis II,Jeremy Stinat,/en/matches/0d5e1575/Monaco-Montpellier-December-3-2023-Ligue-1,,0d5e1575
FRA-Ligue 1,2324,2023-12-03 Toulouse-Lorient,Ligue 1,14,Sun,2023-12-03,15:00,Toulouse,1.0,1–1,0.8,Lorient,22799,Stadium Municipal,Thomas Léonard,/en/matches/50bf0584/Toulouse-Lorient-December-3-2023-Ligue-1,,50bf0584
FRA-Ligue 1,2324,2023-12-06 Marseille-Lyon,Ligue 1,10,Wed,2023-12-06,21:00,Marseille,2.2,3–0,0.2,Lyon,54238,Orange Vélodrome,François Letexier,/en/matches/dfac144f/Choc-des-Olympiques-Marseille-Lyon-December-6-2023-Ligue-1,,dfac144f
FRA-Ligue 1,2324,2023-12-07 Brest-Strasbourg,Ligue 1,12,Thu,2023-12-07,20:30,Brest,1.1,1–1,1.5,Strasbourg,14569,Stade Francis-Le Blé,Jérémie Pignard,/en/matches/52a1fcfd/Brest-Strasbourg-December-7-2023-Ligue-1,,52a1fcfd
FRA-Ligue 1,2324,2023-12-08 Montpellier-Lens,Ligue 1,15,Fri,2023-12-08,21:00,Montpellier,1.3,0–0,1.1,Lens,14169,Stade de la Mosson,Stéphanie Frappart,/en/matches/ad238285/Montpellier-Lens-December-8-2023-Ligue-1,,ad238285
FRA-Ligue 1,2324,2023-12-09 Paris S-G-Nantes,Ligue 1,15,Sat,2023-12-09,21:00,Paris S-G,2.0,2–1,0.5,Nantes,47926,Parc des Princes,Jérôme Brisard,/en/matches/2582af0c/Paris-Saint-Germain-Nantes-December-9-2023-Ligue-1,,2582af0c
FRA-Ligue 1,2324,2023-12-09 Rennes-Monaco,Ligue 1,15,Sat,2023-12-09,17:00,Rennes,1.7,1–2,0.9,Monaco,26856,Roazhon Park,Clément Turpin,/en/matches/fdd2c923/Rennes-Monaco-December-9-2023-Ligue-1,,fdd2c923
FRA-Ligue 1,2324,2023-12-10 Clermont Foot-Lille,Ligue 1,15,Sun,2023-12-10,15:00,Clermont Foot,1.3,0–0,1.0,Lille,8789,Stade Gabriel Montpied,Florent Batta,/en/matches/b6281098/Clermont-Foot-Lille-December-10-2023-Ligue-1,,b6281098
FRA-Ligue 1,2324,2023-12-10 Lorient-Marseille,Ligue 1,15,Sun,2023-12-10,20:45,Lorient,2.2,2–4,2.3,Marseille,15848,Stade du Moustoir,Eric Wattellier,/en/matches/5443d1b1/Lorient-Marseille-December-10-2023-Ligue-1,,5443d1b1
FRA-Ligue 1,2324,2023-12-10 Lyon-Toulouse,Ligue 1,15,Sun,2023-12-10,17:05,Lyon,1.7,3–0,1.5,Toulouse,36677,Groupama Stadium,Pierre Gaillouste,/en/matches/015e7632/Lyon-Toulouse-December-10-2023-Ligue-1,,015e7632
FRA-Ligue 1,2324,2023-12-10 Metz-Brest,Ligue 1,15,Sun,2023-12-10,15:00,Metz,0.2,0–1,0.3,Brest,20157,Stade Saint-Symphorien,Romain Lissorgue,/en/matches/e1a3d53e/Metz-Brest-December-10-2023-Ligue-1,,e1a3d53e
FRA-Ligue 1,2324,2023-12-10 Nice-Reims,Ligue 1,15,Sun,2023-12-10,13:00,Nice,0.9,2–1,1.3,Reims,24325,Stade de Nice,Benoît Bastien,/en/matches/22646ca5/Nice-Reims-December-10-2023-Ligue-1,,22646ca5
FRA-Ligue 1,2324,2023-12-10 Strasbourg-Le Havre,Ligue 1,15,Sun,2023-12-10,15:00,Strasbourg,1.6,2–1,1.3,Le Havre,25173,Stade de la Meinau,Benoît Millot,/en/matches/d15b44c5/Strasbourg-Le-Havre-December-10-2023-Ligue-1,,d15b44c5
FRA-Ligue 1,2324,2023-12-15 Monaco-Lyon,Ligue 1,16,Fri,2023-12-15,21:00,Monaco,1.3,0–1,0.7,Lyon,6000,Stade Louis II,Ruddy Buquet,/en/matches/f66124b8/Monaco-Lyon-December-15-2023-Ligue-1,,f66124b8
FRA-Ligue 1,2324,2023-12-16 Le Havre-Nice,Ligue 1,16,Sat,2023-12-16,17:00,Le Havre,2.1,3–1,1.9,Nice,21971,Stade Océane,Jérémie Pignard,/en/matches/8fd0b0fe/Le-Havre-Nice-December-16-2023-Ligue-1,,8fd0b0fe
FRA-Ligue 1,2324,2023-12-16 Lens-Reims,Ligue 1,16,Sat,2023-12-16,21:00,Lens,1.3,2–0,1.1,Reims,38055,Stade Bollaert-Delelis,François Letexier,/en/matches/331c82fc/Lens-Reims-December-16-2023-Ligue-1,,331c82fc
FRA-Ligue 1,2324,2023-12-17 Lille-Paris S-G,Ligue 1,16,Sun,2023-12-17,20:45,Lille,1.4,1–1,1.4,Paris S-G,47993,Decathlon Arena - Stade Pierre-Mauroy,Willy Delajod,/en/matches/204a77b5/Lille-Paris-Saint-Germain-December-17-2023-Ligue-1,,204a77b5
FRA-Ligue 1,2324,2023-12-17 Lorient-Strasbourg,Ligue 1,16,Sun,2023-12-17,15:00,Lorient,0.8,1–2,0.9,Strasbourg,14580,Stade du Moustoir,Bastien Dechepy,/en/matches/f3cfe34d/Lorient-Strasbourg-December-17-2023-Ligue-1,,f3cfe34d
