,,,,nation,pos,age,born,90s,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
,,,,,,,,,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,
GER-Bundesliga,2223,Werder Bremen,Maximilian Philipp,GER,"FW,MF",28,1994,4.9,1,11,3,27.3,2.24,0.61,0.09,0.33,16.0,0,0,0,2.0,2.0,0.18,-1.0,-1.0
GER-Bundesliga,2223,Werder Bremen,Michael Zetterer,GER,GK,27,1995,1.7,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
GER-Bundesliga,2223,Werder Bremen,Miloš Veljković,SRB,DF,26,1995,25.2,1,4,2,50.0,0.16,0.08,0.25,0.5,8.7,0,0,0,0.5,0.5,0.12,0.5,0.5
GER-Bundesliga,2223,Werder Bremen,Mitchell Weiser,GER,"DF,FW",28,1994,28.0,2,28,8,28.6,1.0,0.29,0.07,0.25,17.9,0,0,0,2.6,2.6,0.09,-0.6,-0.6
GER-Bundesliga,2223,Werder Bremen,Niclas Füllkrug,GER,FW,29,1993,27.5,16,74,32,43.2,2.69,1.16,0.15,0.34,16.0,0,5,5,12.8,8.6,0.12,3.2,2.4
GER-Bundesliga,2223,Werder Bremen,Nicolai Rapp,GER,"MF,DF",25,1996,0.8,0,1,0,0.0,1.27,0.0,0.0,,12.3,0,0,0,0.1,0.1,0.08,-0.1,-0.1
GER-Bundesliga,2223,Werder Bremen,Niklas Schmidt,GER,MF,24,1998,12.1,3,21,9,42.9,1.74,0.75,0.14,0.33,21.3,2,0,0,1.6,1.6,0.08,1.4,1.4
GER-Bundesliga,2223,Werder Bremen,Niklas Stark,GER,DF,27,1995,23.1,0,3,1,33.3,0.13,0.04,0.0,0.0,10.1,0,0,0,0.2,0.2,0.07,-0.2,-0.2
GER-Bundesliga,2223,Werder Bremen,Oliver Burke,SCO,"FW,MF",25,1997,3.0,2,8,5,62.5,2.69,1.68,0.25,0.4,14.0,0,0,0,1.0,1.0,0.13,1.0,1.0
GER-Bundesliga,2223,Werder Bremen,Romano Schmid,AUT,"MF,FW",22,2000,16.9,1,18,3,16.7,1.07,0.18,0.06,0.33,21.4,0,0,0,1.5,1.5,0.08,-0.5,-0.5
GER-Bundesliga,2223,Wolfsburg,Aster Vranckx,BEL,MF,19,2002,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
GER-Bundesliga,2223,Wolfsburg,Bartol Franjić,CRO,MF,22,2000,2.5,0,2,2,100.0,0.79,0.79,0.0,0.0,11.6,0,0,0,0.3,0.3,0.13,-0.3,-0.3
GER-Bundesliga,2223,Wolfsburg,Dženan Pejčinović,GER,FW,17,2005,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
GER-Bundesliga,2223,Wolfsburg,Felix Nmecha,GER,MF,21,2000,20.4,3,37,9,24.3,1.81,0.44,0.08,0.33,17.1,0,0,0,2.7,2.7,0.07,0.3,0.3
GER-Bundesliga,2223,Wolfsburg,Jakub Kamiński,POL,"FW,DF",20,2002,22.9,4,39,14,35.9,1.71,0.61,0.1,0.29,15.9,0,0,0,5.0,4.8,0.12,-1.0,-0.8
GER-Bundesliga,2223,Wolfsburg,Jonas Wind,DEN,FW,23,1999,14.3,6,29,10,34.5,2.02,0.7,0.21,0.6,13.4,0,0,1,5.2,4.4,0.15,0.8,1.6
GER-Bundesliga,2223,Wolfsburg,Josip Brekalo,CRO,"MF,FW",24,1998,3.0,0,2,1,50.0,0.66,0.33,0.0,0.0,20.2,0,0,0,0.1,0.1,0.05,-0.1,-0.1
GER-Bundesliga,2223,Wolfsburg,Josuha Guilavogui,FRA,"DF,MF",31,1990,13.1,1,6,1,16.7,0.46,0.08,0.17,1.0,11.9,0,0,0,0.5,0.5,0.09,0.5,0.5
GER-Bundesliga,2223,Wolfsburg,Jérôme Roussillon,FRA,"MF,DF",29,1993,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
GER-Bundesliga,2223,Wolfsburg,Kevin Paredes,USA,"FW,MF",19,2003,5.9,1,4,2,50.0,0.68,0.34,0.25,0.5,21.4,0,0,0,0.2,0.2,0.04,0.8,0.8
GER-Bundesliga,2223,Wolfsburg,Kilian Fischer,GER,"DF,FW",21,2000,5.6,0,3,1,33.3,0.54,0.18,0.0,0.0,19.8,0,0,0,0.3,0.3,0.12,-0.3,-0.3
GER-Bundesliga,2223,Wolfsburg,Koen Casteels,BEL,GK,30,1992,34.0,0,1,0,0.0,0.03,0.0,0.0,,10.5,0,0,0,0.1,0.1,0.07,-0.1,-0.1
GER-Bundesliga,2223,Wolfsburg,Luca Waldschmidt,GER,"FW,MF",26,1996,5.8,4,10,5,50.0,1.72,0.86,0.3,0.6,14.2,0,1,1,3.5,1.9,0.19,0.5,1.1
GER-Bundesliga,2223,Wolfsburg,Lukas Nmecha,GER,FW,23,1998,10.0,4,22,7,31.8,2.2,0.7,0.18,0.57,14.1,0,0,0,3.0,3.0,0.14,1.0,1.0
GER-Bundesliga,2223,Wolfsburg,Lukáš Ambros,CZE,MF,18,2004,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
GER-Bundesliga,2223,Wolfsburg,Mattias Svanberg,SWE,"MF,FW",23,1999,20.4,4,30,10,33.3,1.47,0.49,0.13,0.4,16.9,4,0,0,4.4,4.4,0.15,-0.4,-0.4
GER-Bundesliga,2223,Wolfsburg,Max Kruse,GER,"MF,FW",34,1988,3.0,0,9,2,22.2,2.98,0.66,0.0,0.0,13.9,0,0,0,0.7,0.7,0.08,-0.7,-0.7
GER-Bundesliga,2223,Wolfsburg,Maxence Lacroix,FRA,DF,22,2000,18.1,1,4,1,25.0,0.22,0.06,0.25,1.0,8.6,0,0,0,0.5,0.5,0.13,0.5,0.5
GER-Bundesliga,2223,Wolfsburg,Maximilian Arnold,GER,MF,28,1994,30.7,5,29,12,41.4,0.94,0.39,0.07,0.17,31.4,6,3,5,5.0,1.0,0.04,0.0,1.0
GER-Bundesliga,2223,Wolfsburg,Maximilian Philipp,GER,FW,28,1994,1.3,0,1,1,100.0,0.78,0.78,0.0,0.0,18.2,0,0,0,0.1,0.1,0.07,-0.1,-0.1
GER-Bundesliga,2223,Wolfsburg,Micky van de Ven,NED,DF,21,2001,33.0,1,16,1,6.3,0.48,0.03,0.06,1.0,17.5,0,0,0,1.3,1.3,0.08,-0.3,-0.3
GER-Bundesliga,2223,Wolfsburg,Nicolas Cozza,FRA,DF,23,1999,1.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
GER-Bundesliga,2223,Wolfsburg,Omar Marmoush,EGY,FW,23,1999,16.4,5,48,16,33.3,2.93,0.98,0.1,0.31,15.0,1,0,0,6.1,6.1,0.13,-1.1,-1.1
GER-Bundesliga,2223,Wolfsburg,Patrick Wimmer,AUT,"FW,MF",21,2001,18.3,4,31,14,45.2,1.69,0.76,0.13,0.29,13.9,0,0,0,4.4,4.4,0.14,-0.4,-0.4
GER-Bundesliga,2223,Wolfsburg,Paulo Otávio,BRA,DF,27,1994,22.7,0,19,1,5.3,0.84,0.04,0.0,0.0,23.9,0,0,0,0.8,0.8,0.04,-0.8,-0.8
GER-Bundesliga,2223,Wolfsburg,Ridle Baku,GER,"DF,FW",24,1998,28.7,5,28,12,42.9,0.98,0.42,0.18,0.42,19.1,0,0,0,2.9,2.9,0.1,2.1,2.1
GER-Bundesliga,2223,Wolfsburg,Sebastiaan Bornauw,BEL,DF,23,1999,21.4,1,4,3,75.0,0.19,0.14,0.25,0.33,11.3,0,0,0,0.4,0.4,0.1,0.6,0.6
GER-Bundesliga,2223,Wolfsburg,Yannick Gerhardt,GER,MF,28,1994,20.7,6,27,13,48.1,1.3,0.63,0.22,0.46,12.0,0,0,0,5.7,5.7,0.21,0.3,0.3
