,,,,nation,pos,age,born,90s,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Ast,xAG,Expected,Expected,KP,1/3,PPA,CrsPA,PrgP
,,,,,,,,,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,,,xA,A-xAG,,,,,
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GER-Bundesliga,2324,Mainz 05,Leandro Barreiro Martins,LUX,MF,23,2000,29.0,679,925,73.4,10846,3124,338,425,79.5,267,344,77.6,54,92,58.7,1,1.1,1.1,-0.1,20,74,12,2,93
GER-Bundesliga,2324,Mainz 05,Lee Jae-sung,KOR,"MF,FW",30,1992,23.5,605,777,77.9,8558,2153,350,416,84.1,193,244,79.1,28,50,56.0,3,3.4,2.2,-0.4,32,61,10,2,82
GER-Bundesliga,2324,Mainz 05,Ludovic Ajorque,FRA,FW,29,1994,15.1,318,453,70.2,4546,479,172,241,71.4,105,145,72.4,15,19,78.9,0,1.0,1.6,-1.0,16,21,3,0,21
GER-Bundesliga,2324,Mainz 05,Marco Richter,GER,"MF,FW",25,1997,8.0,184,291,63.2,3183,1076,91,111,82.0,59,98,60.2,26,58,44.8,0,1.3,2.1,-1.3,11,23,11,3,30
GER-Bundesliga,2324,Mainz 05,Marcus Müller,GER,MF,20,2002,0.2,3,5,60.0,53,2,1,2,50.0,2,3,66.7,0,0,,0,0.0,0.1,0.0,0,0,0,0,1
GER-Bundesliga,2324,Mainz 05,Maxim Leitsch,GER,DF,25,1998,4.2,133,171,77.8,2803,1006,35,51,68.6,79,92,85.9,17,24,70.8,0,0.0,0.1,0.0,0,7,1,0,7
GER-Bundesliga,2324,Mainz 05,Merveille Papela,GER,"MF,DF",22,2001,2.9,64,91,70.3,1034,318,33,37,89.2,26,35,74.3,4,12,33.3,0,0.3,0.2,-0.3,3,6,0,0,12
GER-Bundesliga,2324,Mainz 05,Nadiem Amiri,GER,MF,26,1996,14.6,567,798,71.1,10700,4288,247,291,84.9,205,263,77.9,94,201,46.8,4,4.3,4.1,-0.3,52,70,17,3,88
GER-Bundesliga,2324,Mainz 05,Nelson Weiper,GER,"FW,MF",18,2005,1.4,24,40,60.0,301,40,13,17,76.5,7,12,58.3,0,0,,0,0.2,0.1,-0.2,2,2,1,0,2
GER-Bundesliga,2324,Mainz 05,Phillipp Mwene,AUT,DF,29,1994,22.2,652,934,69.8,11014,4320,330,393,84.0,235,334,70.4,69,148,46.6,2,2.0,2.6,0.0,22,49,32,15,73
