,,,,nation,pos,age,born,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG)
,,,,,,,,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA-Serie A,2223,Juventus,Nikola Sekulov,ITA,MF,20,2002,0,,,,,0,,0,0,,1,,,,,,,,,,,
ITA-Serie A,2223,Juventus,Paul Pogba,FRA,"MF,FW",29,1993,6,111,19,3.2,1.2,1,23,0,5,18,3,2.0,3,0,3,2.43,1.89,2.1,1.0,1.1,0.91,0.57
ITA-Serie A,2223,Juventus,Samuel Iling-Junior,ENG,"DF,FW",18,2003,12,318,27,9.3,3.5,1,81,0,11,22,15,2.08,7,0,7,1.98,1.52,6.8,2.8,4.0,1.15,0.86
ITA-Serie A,2223,Juventus,Simone Scaglia,ITA,GK,18,2004,0,,,,,0,,0,0,,1,,,,,,,,,,,
ITA-Serie A,2223,Juventus,Tommaso Barbieri,ITA,DF,19,2002,3,109,36,3.2,1.2,2,51,0,1,8,8,1.0,0,2,-2,-1.65,-2.33,2.1,2.1,0.0,-0.01,-0.38
ITA-Serie A,2223,Juventus,Weston McKennie,USA,"MF,DF",23,1998,15,1052,70,30.8,11.7,13,76,6,2,30,1,1.73,15,13,2,0.17,-0.63,16.0,14.5,1.4,0.12,-0.34
ITA-Serie A,2223,Juventus,Wojciech Szczęsny,POL,GK,32,1990,28,2472,88,72.3,27.5,28,88,27,0,,6,1.93,40,26,14,0.51,-0.34,40.4,29.1,11.3,0.41,0.18
ITA-Serie A,2223,Juventus,Ángel Di María,ARG,"FW,MF",34,1988,26,1363,52,39.9,15.1,15,70,3,11,29,1,1.81,25,21,4,0.26,-0.57,22.6,18.2,4.5,0.3,-0.11
ITA-Serie A,2223,Lazio,Adam Marušić,MNE,DF,29,1992,33,2760,84,80.7,30.7,31,86,23,2,40,1,1.91,47,25,22,0.72,-0.37,39.6,33.8,5.8,0.19,-0.35
ITA-Serie A,2223,Lazio,Alessio Romagnoli,ITA,DF,27,1995,34,2922,86,85.4,32.5,33,88,30,1,34,2,1.82,49,28,21,0.65,-0.98,40.3,36.1,4.2,0.13,-0.88
ITA-Serie A,2223,Lazio,Ciro Immobile,ITA,FW,32,1990,31,2219,72,64.9,24.7,27,79,17,4,22,2,1.97,42,19,23,0.93,0.41,32.9,28.6,4.2,0.17,-0.25
ITA-Serie A,2223,Lazio,Danilo Cataldi,ITA,MF,27,1994,29,1921,66,56.2,21.3,26,72,4,3,18,2,1.97,37,15,22,1.03,0.55,30.1,22.4,7.7,0.36,0.23
ITA-Serie A,2223,Lazio,Diego González,PAR,FW,19,2003,0,,,,,0,,0,0,,4,,,,,,,,,,,
ITA-Serie A,2223,Lazio,Dimitrije Kamenović,SRB,DF,22,2000,0,,,,,0,,0,0,,13,,,,,,,,,,,
ITA-Serie A,2223,Lazio,Djavan Anderson,SUR,"DF,MF",27,1995,0,,,,,0,,0,0,,1,,,,,,,,,,,
ITA-Serie A,2223,Lazio,Elseid Hysaj,ALB,DF,28,1994,34,1998,59,58.4,22.2,22,82,14,12,16,3,2.09,38,17,21,0.95,0.38,31.4,22.9,8.5,0.38,0.3
ITA-Serie A,2223,Lazio,Fabio Ruggeri,ITA,DF,17,2004,0,,,,,0,,0,0,,1,,,,,,,,,,,
ITA-Serie A,2223,Lazio,Federico Magro,ITA,GK,17,2005,0,,,,,0,,0,0,,2,,,,,,,,,,,
ITA-Serie A,2223,Lazio,Felipe Anderson,BRA,FW,29,1993,38,2958,78,86.5,32.9,35,82,23,3,28,0,1.95,48,24,24,0.73,-0.44,44.1,35.7,8.3,0.25,-0.03
ITA-Serie A,2223,Lazio,Ivan Provedel,ITA,GK,28,1994,38,3413,90,99.8,37.9,37,90,37,1,83,0,1.95,60,30,30,0.79,0.79,51.1,41.3,9.8,0.26,-0.45
ITA-Serie A,2223,Lazio,Luca Pellegrini,ITA,DF,23,1999,7,180,26,5.3,2.0,1,90,1,6,15,10,1.43,4,1,3,1.5,0.75,5.0,2.3,2.7,1.35,1.15
ITA-Serie A,2223,Lazio,Luis Alberto,ESP,MF,29,1992,35,2442,70,71.4,27.1,27,82,16,8,27,2,1.94,49,19,30,1.11,1.11,39.6,27.7,11.9,0.44,0.63
ITA-Serie A,2223,Lazio,Luka Romero,ARG,FW,17,2004,6,151,25,4.4,1.7,1,68,0,5,17,28,2.0,1,2,-1,-0.6,-1.45,2.6,1.4,1.2,0.72,0.48
ITA-Serie A,2223,Lazio,Luís Maximiano,POR,GK,23,1999,1,5,5,0.1,0.1,1,5,0,0,,36,3.0,0,0,0,0.0,-0.79,0.1,0.0,0.1,0.99,0.73
ITA-Serie A,2223,Lazio,Manuel Lazzari,ITA,DF,28,1993,28,1879,67,54.9,20.9,22,80,10,6,21,7,1.75,31,16,15,0.72,-0.16,26.2,23.1,3.1,0.15,-0.25
ITA-Serie A,2223,Lazio,Marco Bertini,ITA,MF,19,2002,1,1,1,0.0,0.0,0,,0,1,1,21,3.0,0,0,0,0.0,-0.79,0.0,0.0,0.0,0.0,-0.26
ITA-Serie A,2223,Lazio,Marcos Antônio,BRA,MF,22,2000,16,594,37,17.4,6.6,6,70,1,10,18,21,1.75,7,6,1,0.15,-0.77,8.2,7.3,0.9,0.14,-0.15
ITA-Serie A,2223,Lazio,Mario Gila,ESP,DF,21,2000,4,90,23,2.6,1.0,0,,0,4,23,29,1.75,3,2,1,1.0,0.22,1.7,1.7,0.1,0.05,-0.21
ITA-Serie A,2223,Lazio,Marius Adamonis,LTU,GK,25,1997,0,,,,,0,,0,0,,38,,,,,,,,,,,
ITA-Serie A,2223,Lazio,Matteo Cancellieri,ITA,FW,20,2002,20,256,13,7.5,2.8,1,45,0,19,11,18,1.85,6,2,4,1.41,0.67,5.9,3.3,2.6,0.91,0.71
ITA-Serie A,2223,Lazio,Mattia Zaccagni,ITA,FW,27,1995,35,2770,79,81.0,30.8,33,82,17,2,31,0,1.94,50,23,27,0.88,0.46,39.5,34.6,4.9,0.16,-0.52
