,,,,nation,pos,age,born,90s,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Ast,xAG,Expected,Expected,KP,1/3,PPA,CrsPA,PrgP
,,,,,,,,,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,,,xA,A-xAG,,,,,
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2122,Elche,Darío Benedetto,ARG,"FW,MF",31,1990,6.6,72,112,64.3,1311,310,37,48,77.1,23,35,65.7,12,17,70.6,1,0.9,0.3,0.1,4,10,4,0,14
ESP-La Liga,2122,Elche,Diego González,ESP,DF,26,1995,19.9,594,721,82.4,12217,3976,172,204,84.3,352,377,93.4,68,127,53.5,0,0.0,0.1,0.0,2,21,0,0,17
ESP-La Liga,2122,Elche,Enzo Roco,CHI,DF,28,1992,28.4,949,1158,82.0,20066,7944,266,298,89.3,504,561,89.8,165,260,63.5,0,0.1,0.2,-0.1,3,47,2,0,42
ESP-La Liga,2122,Elche,Ezequiel Ponce,ARG,FW,24,1997,7.4,123,164,75.0,1532,220,80,93,86.0,20,28,71.4,10,12,83.3,0,0.3,0.2,-0.3,7,7,3,0,10
ESP-La Liga,2122,Elche,Fidel,ESP,MF,31,1989,25.1,802,1112,72.1,12158,4732,454,523,86.8,232,303,76.6,70,163,42.9,6,4.4,4.1,1.6,40,87,24,10,135
ESP-La Liga,2122,Elche,Gerard Gumbau,ESP,MF,26,1994,21.0,836,1064,78.6,15799,4666,364,400,91.0,319,375,85.1,129,231,55.8,4,2.8,2.0,1.2,28,92,8,2,85
ESP-La Liga,2122,Elche,Gonzalo Verdú,ESP,DF,32,1988,15.5,595,712,83.6,13331,4573,123,134,91.8,374,406,92.1,93,155,60.0,0,0.0,0.2,0.0,0,24,0,0,23
ESP-La Liga,2122,Elche,Guido Carrillo,ARG,FW,30,1991,13.0,208,302,68.9,2561,422,134,177,75.7,42,65,64.6,9,14,64.3,0,0.3,0.4,-0.3,6,14,2,0,13
ESP-La Liga,2122,Elche,Helibelton Palacios,COL,DF,28,1993,21.5,715,944,75.7,11269,4857,377,427,88.3,267,339,78.8,46,106,43.4,0,0.1,0.3,-0.1,7,46,5,3,52
ESP-La Liga,2122,Elche,Iván Marcone,ARG,MF,31,1990,9.0,355,432,82.2,6131,1902,163,190,85.8,140,153,91.5,38,54,70.4,0,0.0,0.1,0.0,0,24,1,1,28
ESP-La Liga,2122,Elche,Javier Pastore,ARG,"MF,FW",32,1989,5.8,216,283,76.3,3541,1062,111,128,86.7,72,92,78.3,23,35,65.7,0,0.7,0.9,-0.7,11,22,13,2,35
ESP-La Liga,2122,Elche,Johan Mojica,COL,DF,28,1992,31.7,1400,1863,75.1,23024,10026,784,862,91.0,424,549,77.2,144,308,46.8,5,5.3,4.6,-0.3,29,95,45,27,128
ESP-La Liga,2122,Elche,John Donald,ESP,DF,20,2000,2.0,76,89,85.4,1190,499,35,39,89.7,36,39,92.3,2,6,33.3,0,0.1,0.0,-0.1,2,8,0,0,9
ESP-La Liga,2122,Elche,Josan,ESP,"DF,MF",31,1989,13.5,383,537,71.3,5957,2134,195,241,80.9,148,197,75.1,25,51,49.0,3,3.2,3.1,-0.2,18,19,23,13,38
ESP-La Liga,2122,Elche,Josema,ESP,DF,25,1996,2.0,38,65,58.5,690,287,17,20,85.0,15,25,60.0,5,14,35.7,0,0.1,0.0,-0.1,1,3,0,0,2
ESP-La Liga,2122,Elche,Kike Pérez,ESP,"MF,FW",24,1997,5.8,181,248,73.0,2800,778,103,122,84.4,58,75,77.3,15,24,62.5,0,0.8,0.4,-0.8,6,18,4,0,19
ESP-La Liga,2122,Elche,Kiko Casilla,ESP,GK,34,1986,14.0,324,486,66.7,9565,7217,58,58,100.0,134,139,96.4,128,283,45.2,0,0.1,0.0,-0.1,1,4,0,0,0
ESP-La Liga,2122,Elche,Lucas Boyé,ARG,FW,25,1996,19.0,306,426,71.8,4319,733,176,219,80.4,81,113,71.7,25,38,65.8,3,2.0,0.7,1.0,22,18,8,0,37
ESP-La Liga,2122,Elche,Lucas Olaza,URU,DF,27,1994,3.3,162,211,76.8,2338,909,89,105,84.8,58,71,81.7,7,17,41.2,0,0.3,0.4,-0.3,6,10,4,2,16
ESP-La Liga,2122,Elche,Lucas Pérez,ESP,FW,32,1988,14.1,274,383,71.5,4143,1069,163,190,85.8,60,90,66.7,31,62,50.0,1,1.6,1.2,-0.6,12,19,8,1,40
ESP-La Liga,2122,Elche,Omar Mascarell,EQG,MF,28,1993,27.7,1051,1234,85.2,19127,5066,457,501,91.2,435,485,89.7,131,191,68.6,0,0.2,0.3,-0.2,7,69,4,0,92
ESP-La Liga,2122,Elche,Pablo Piatti,ARG,"MF,FW",32,1989,3.5,75,101,74.3,1003,187,44,56,78.6,19,25,76.0,4,5,80.0,0,0.4,0.4,-0.4,4,1,2,0,2
ESP-La Liga,2122,Elche,Pedro Bigas,ESP,DF,30,1990,17.2,806,933,86.4,15307,5939,302,321,94.1,408,446,91.5,86,142,60.6,0,0.3,0.4,-0.3,5,44,3,1,59
ESP-La Liga,2122,Elche,Pere Milla,ESP,"MF,FW",28,1992,18.3,367,515,71.3,5192,1300,213,266,80.1,102,140,72.9,25,52,48.1,3,1.7,1.0,1.3,12,20,13,4,39
