,,,,nation,pos,age,born,90s,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
,,,,,,,,,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,
ITA-Serie A,2122,Udinese,Samir Santos,BRA,DF,26,1994,15.8,0,7,3,42.9,0.44,0.19,0.0,0.0,12.8,0,0,0,0.8,0.8,0.11,-0.8,-0.8
ITA-Serie A,2122,Udinese,Sebastien De Maio,FRA,DF,34,1987,2.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ITA-Serie A,2122,Udinese,Simone Pafundi,ITA,FW,15,2006,0.3,0,1,1,100.0,3.91,3.91,0.0,0.0,21.5,0,0,0,0.1,0.1,0.07,-0.1,-0.1
ITA-Serie A,2122,Udinese,Stefano Okaka,ITA,FW,31,1989,0.2,0,1,0,0.0,4.09,0.0,0.0,,15.0,0,0,0,0.0,0.0,0.03,0.0,0.0
ITA-Serie A,2122,Udinese,Tolgay Arslan,GER,MF,30,1990,18.4,1,23,9,39.1,1.25,0.49,0.04,0.11,22.8,1,0,0,1.2,1.2,0.05,-0.2,-0.2
ITA-Serie A,2122,Udinese,Walace,BRA,MF,26,1995,33.0,1,47,11,23.4,1.42,0.33,0.02,0.09,25.7,0,0,0,1.5,1.5,0.03,-0.5,-0.5
ITA-Serie A,2122,Venezia,Aleš Matějů,CZE,DF,25,1996,8.1,0,2,2,100.0,0.25,0.25,0.0,0.0,11.2,0,0,0,0.3,0.3,0.13,-0.3,-0.3
ITA-Serie A,2122,Venezia,Antonio Vacca,ITA,MF,31,1990,11.8,0,1,0,0.0,0.08,0.0,0.0,,29.9,0,0,0,0.0,0.0,0.02,0.0,0.0
ITA-Serie A,2122,Venezia,Arnór Sigurðsson,ISL,"FW,MF",22,1999,2.0,0,1,0,0.0,0.49,0.0,0.0,,11.2,0,0,0,0.1,0.1,0.09,-0.1,-0.1
ITA-Serie A,2122,Venezia,Bjarki Bjarkason,ISL,MF,21,2000,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ITA-Serie A,2122,Venezia,Cristian Molinaro,ITA,DF,38,1983,6.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ITA-Serie A,2122,Venezia,Daan Heymans,BEL,"MF,FW",22,1999,2.8,0,3,1,33.3,1.05,0.35,0.0,0.0,14.5,0,0,0,0.1,0.1,0.03,-0.1,-0.1
ITA-Serie A,2122,Venezia,David Okereke,NGA,"FW,MF",23,1997,22.8,7,40,19,47.5,1.75,0.83,0.18,0.37,15.6,0,0,0,5.0,5.0,0.12,2.0,2.0
ITA-Serie A,2122,Venezia,David Schnegg,AUT,DF,22,1998,1.6,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ITA-Serie A,2122,Venezia,Dennis Johnsen,NOR,"FW,MF",23,1998,16.1,1,14,5,35.7,0.87,0.31,0.07,0.2,16.5,0,0,0,2.3,2.3,0.16,-1.3,-1.3
ITA-Serie A,2122,Venezia,Domen Črnigoj,SVN,MF,25,1995,20.9,3,32,12,37.5,1.53,0.57,0.09,0.25,22.4,0,0,0,2.2,2.2,0.07,0.8,0.8
